i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,0,3981,1118,908,908,908,908,908,838,838,838,838,908,908,838,838,838,907,838,838,838,838,838,908,838,838,907,908,838,908,908,838,907
2,1,2794,1746,1537,1607,1536,1536,1606,1467,1467,1467,1537,1467,1536,1466,1467,1467,1467,1536,1467,1467,1467,1536,1466,1466,1466,1466,1467,1467,1467,1467,1467,1467
3,5,10825,10057,9847,9498,9149,8870,8730,8730,8730,8660,8730,8660,8660,8870,8800,8729,8729,8590,8660,8799,37643,24164,9079,22069,8799,8870,8939,8940,8939,8730,8730,8800
4,10,12291,10196,9917,9847,9917,9917,9847,9987,9987,9917,9917,9778,9847,9847,9707,9778,9708,9777,9847,9707,9777,9708,9847,9707,9778,9848,9778,9777,9707,9778,9848,9707
5,9,38761,37503,34151,32964,32265,31986,32195,32754,32405,32685,32824,32056,32545,32056,32126,32126,32195,31986,32056,32615,31916,32056,32056,32055,32196,32684,32265,32126,32125,32056,31986,31986
6,14,39040,36944,36176,35828,35688,35478,35687,35477,35548,35547,35967,35478,35827,35617,35617,37154,38480,35618,36875,36666,35478,35966,35757,35687,35617,35757,35827,36316,34849,34919,34919,34989
7,28,75705,73330,72283,72352,72282,70886,70537,69280,68861,71025,72702,72143,71794,69420,67673,67604,108739,67674,68302,69489,67394,67464,67254,67534,67324,67603,67464,67394,67603,67464,69838,69839
8,36,232422,221737,221178,220829,223622,217267,219711,216638,216779,220689,216289,216499,251278,217826,221946,220689,216848,222435,218873,221877,216149,216568,216429,216918,216429,218733,225788,217057,216639,217057,252745,221876
9,41,262522,259310,259100,258612,258332,261335,258332,257424,259450,254002,253932,255887,257843,257773,287664,263290,254072,253303,260916,260148,253163,253513,260078,260078,257424,257983,257843,258192,256865,281099,272649,258541
10,41,584058,579379,574839,577283,571766,593835,588039,587480,573232,568623,587061,568205,599143,573094,584407,591600,576166,576445,574839,618000,579169,572744,576306,584546,574839,581893,601377,585035,594114,580636,590832,573652
11,60,939185,922983,915930,933878,945122,925008,913136,929478,927453,935973,949871,911809,940443,925776,910691,925847,943306,945960,927313,914463,937161,923542,938767,929687,930596,923333,916697,928990,924799,933529,935484,953992
12,66,431740,421195,413513,425734,408554,422661,411697,410090,404643,416795,414351,407716,423290,410231,415817,414979,421195,427131,420846,424617,409811,404713,409601,410510,402199,414700,406459,420078,406878,416515,407647,406250
13,84,904406,909923,920818,910761,920538,918094,906361,920329,920748,900844,894140,894419,892254,930316,912507,904196,883594,908666,893302,913625,883175,906571,922076,913695,914603,911320,922285,908596,901892,912787,903358,901123
14,108,1393275,1417089,1417439,1394392,1379866,1396556,1394532,1411222,1401236,1382240,1424841,1366596,1364151,1395719,1399909,1417299,1377142,1399630,1417648,1400887,1406893,1382939,1395648,1357936,1376932,1436924,1406054,1390341,1411502,1399839,1367574,1412689
15,117,1768376,1747913,1731921,1744840,1751685,1740720,1779410,1738275,1734015,1754688,1728289,1706709,1738415,1746027,1717184,1730873,1728848,1740580,1738415,1727381,1760903,1712435,1740371,1752034,1741209,1747634,1731501,1767049,1710270,1744491,1732619,1742815
16,132,1732409,1726822,1687643,1757481,1721445,1730803,1759436,1723050,1735132,1717184,1740580,1719489,1732618,1727869,1724587,1728359,1730942,1748751,1730663,1720047,1715997,1709502,1702378,1704892,1737856,1753151,1722003,1712366,1731152,1713413,1732479,1720677
17,145,3034055,3050397,3038246,3018482,3012616,3045439,2996971,3000952,3023510,3020228,3005840,3032728,2997390,3005702,3056683,3052982,3022602,3017294,3020157,3054378,3001510,3008564,3010031,3041528,3061083,3028678,2991244,3036430,3040062,3024977,2998229,3021694
18,152,3577328,3571321,3543665,3575302,3556935,3575722,3711138,3587594,3625447,3605123,3571461,3578654,3579213,3568249,3534447,3579842,3551907,3560636,3578235,3544573,3572160,3610361,3562312,3594647,3602958,3569715,3559309,3604774,3590387,3555957,3583403,3617485
19,184,3236377,3226460,3236098,3281841,3273810,3246364,3251043,3500296,3312361,3314317,3228904,3256630,3247202,3242313,3214658,3264033,3248319,3252510,3279188,3253208,3241336,3238333,3247062,3243012,3289803,3244687,3268293,3200830,3243641,3262427,3245037,3246503
20,189,5310924,5299889,5268113,5330339,5274329,5350802,5308689,5257288,5295908,5225651,5330968,5244718,5318047,5297865,5260570,5342421,5265739,5265389,5266577,5268462,5301007,5321120,5289972,5294093,5281242,5321609,5295629,5319095,5326149,5288994,5306385,5256450
21,228,7606160,7601900,7569286,7530944,7587164,7591284,7597500,7598617
22,263,8179742,8200973,8234006,8217036,8234146,8236591,8206071,8188053
23,259,5474974,5472181,5486148,5390959,5494459,5506681,5462753,5458422
24,301,4727075,4698512,4688594,4655771,4661707,4694181,4702702,4657517
