i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,0,3911,1048,978,908,908,978,907,908,978,908,908,838,908,838,908,838,838,908,838,838,838,838,838,838,838,838,838,838,908,838,908,908
2,0,2444,1885,1815,1746,1746,1676,1676,1606,1676,1816,1746,1746,1676,1746,1676,1676,1676,1676,1677,1676,1676,1606,1676,1676,1676,1676,1676,1746,1746,1676,1746,1746
3,0,4330,4051,3911,3842,3841,3771,3771,3842,3841,3771,3772,3771,3841,3842,3911,3841,3772,3771,3771,3841,3771,3701,3771,3701,3701,3701,3702,3772,3702,3632,3701,3632
4,1,8381,7054,6634,6495,6565,6565,6494,6495,6565,6635,6495,6565,6495,6565,6495,6565,6565,6565,6634,6774,6565,6845,6984,6775,6635,6564,6495,6425,6425,6425,6495,6425
5,4,29751,28075,27237,26748,26748,26468,26329,26538,26608,26399,26398,26538,26539,26888,26748,26608,26748,26538,26609,26678,26958,26818,26469,26469,26469,26748,26818,26608,26679,26468,26678,26958
6,5,48538,45744,45046,65368,64181,44697,44696,44557,44487,44697,44347,44627,43998,44697,44767,44137,44487,44696,44277,44557,44627,44138,44208,43998,44627,44278,44277,44207,43999,44068,44068,44068
7,5,89882,83806,82619,82968,82619,81571,85412,82060,81850,82270,83038,81780,81361,82060,82269,81711,80733,81850,81711,80873,80943,82758,81013,81292,80593,82060,83736,83526,84294,84225,81012,81781
8,12,158673,120960,124243,123894,124662,128293,120192,119703,119703,119563,119563,119773,119703,119912,119773,128224,121659,129062,124801,119982,125290,120052,120680,120331,120052,119772,120192,120471,124592,121588,120401,119423
9,8,165028,117957,116910,120402,116001,115303,124801,115373,116560,116490,118306,115792,116560,115722,119633,114814,116281,116420,115932,115861,118097,116001,115792,115652,115443,115443,115023,116560,124103,115652,116141,117119
10,16,384879,339205,337738,334176,334386,339973,341020,341928,343744,343884,342906,339134,366022,350798,342068,340183,343256,339693,338436,339135,338227,338436,338227,367209,348702,339763,340811,347515,334316,334386,352334,339274
11,20,642024,647471,624215,610806,610317,619605,622468,610667,641255,636367,619885,643141,619955,624075,644119,638811,619536,619046,618000,637414,647960,624144,619396,616323,619885,626380,620583,628335,625612,638252,630291,617161
12,19,567087,592369,572464,567156,612412,573303,568763,560103,563455,585594,566668,575886,566878,567646,574769,571278,566877,566109,569182,572534,561849,565900,564224,602914,587271,579937,582591,583987,567506,571487,567087,566599
13,18,1408638,1406892,1406822,1413178,1408778,1397534,1409477,1415902,1391878,1400328,1404169,1385592,1404449,1401725,1417368,1389223,1390899,1382868,1429521,1402004,1393763,1426797,1384684,1410244,1409197,1424632,1433361,1409546,1400538,1394042,1402353,1402004
14,27,1493632,1474496,1463322,1481899,1474916,1452637,1467442,1488254,1480712,1477429,1484832,1467931,1477848,1463322,1472960,1470026,1483784,1474845,1467233,1496565,1457875,1453196,1454872,1470446,1471213,1472890,1470935,1456967,1457385,1488394,1488254,1479455
15,30,1390341,1390061,1407800,1392436,1398163,1378609,1389922,1417299,1374278,1378888,1379237,1392716,1395719,1382380,1444326,1405287,1399280,1381751,1383706,1394392,1381611,1396208,1397255,1396277,1382938,1370996,1398442,1396627,1398582,1384405,1402423,1375954
16,31,7173791,7153398,7178749,7118129,7213947,7200468,7174909,7163315,7199422,7169181,7216881,7169740,7152350,7168622,7174210,7180495,7130352,7111635,7147741,7155843,7158077,7158147,7164642,7218557,7139430,7191111,7204799,7153538,7180495,7158775,7160731,7156960
17,31,3581168,3532212,3516358,3523413,3556376,3544015,3520409,3517825,3509235,3534098,3520968,3523551,3550370,3560776,3567410,3551696,3516847,3536193,3530047,3508048,3515241,3515032,3533678,3537030,3545552,3523133,3532561,3532492,3536682,3505464,3538917,3525647
18,34,4413432,4437875,4407984,4415177,4475588,4392829,4463016,4424816,4437316,4433685,4482502,4442554,4406588,4422021,4447513,4400512,4482082,4438853,4407076,4436060,4450236,4432637,4440040,4454218,4465531,4496539,4468464,4430123,4434732,4440529,4456103,4429355
19,43,16145149,16095425,16147455,16164076,16195084,16157720,16218479,16201788,16139771,16060086,16156254,16101849,16123220,16112535,16217642,16138794,16155625,16245297,16164983,16147943,16136978,16106599,16072029,16163866,16191872,16196690,16169872,16177694,16118680,16123220,16182792,16151923
20,51,11165957,11039690,11087250,11128874,11076006,11149406,11083339,11103243,11075447,11032986,11112531,11184884,11129502,11071396,11079428,11051563,11126429,11114277,11063784,11223086,11068114,11068253,11080266,11074540,11115185,11052121,11099053,11148917,11125800,11084736,11079079,11100589
21,51,24584200,24565204,24489849,24628408,24593490,24522184,24474345,24605921
22,52,62333899,62444035,62321957,62428949,62381739,62313925,62340534,62325868
23,79,11740099,11776694,11735489,11747571,11726620,11693376,11776484,11758396
24,74,26723418,26783618,26798214,26692549,26734871,26800869,26755054,26812182
