i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,0,9848,3212,2096,2095,2095,2095,2095,2096,2095,2026,2095,2095,2095,2025,2025,2026,2025,1956,2026,2026,1956,1956,1955,1956,1886,1956,1886,2025,2095,1956,1676,1956
2,0,6914,4959,4121,4470,4469,4260,4261,4191,4191,4190,4190,4191,4331,4190,4190,4191,4191,4191,4260,4121,4190,4260,4191,4051,4121,4260,4190,3632,4120,4121,4121,4191
3,1,13340,10756,9778,9638,9638,9149,9638,9639,9639,9638,9568,9638,9638,9708,9359,9638,9149,9639,9638,9638,9638,9708,9639,9638,9638,9708,9568,9499,9708,9568,9708,9638
4,1,26400,25073,22629,22559,22489,22559,22140,22350,22070,22140,22140,22070,22838,46934,46864,22978,21511,22489,22769,22559,21930,22000,22140,21861,21930,22769,22559,22838,22280,22768,22559,22838
5,3,89258,82343,79410,78572,78991,78083,78991,78572,78922,78782,79131,78921,79061,79130,78153,77384,79480,78642,77873,78712,77804,78782,78572,78432,77594,78502,78781,78712,79341,79410,79131,79201
6,3,81506,80248,79130,79620,78153,78432,78641,78293,78922,78572,88769,77455,77734,78153,79200,78851,78851,77664,78084,78712,78363,78572,78013,78223,77804,77804,78362,78362,78292,78013,78502,78153
7,9,196325,188782,189272,187664,188014,184801,186198,187385,185220,186897,187176,207221,193322,187246,186967,186827,185919,185081,186408,185081,186966,184871,184801,184941,184312,186687,184802,184312,186966,185361,187455,187176
8,7,352212,288865,287189,286631,287119,287888,287678,287538,286561,286700,288656,288586,285723,285932,340828,287259,288447,288446,287050,286980,287679,284676,285653,286282,285723,286980,285863,328815,285443,288237,287259,287469
9,12,822177,811841,808070,810933,764977,761974,759040,760927,796406,761904,758761,763371,761345,792984,760926,759669,763301,763091,781250,723002,719650,717415,719859,723701,732501,723561,724119,722164,722444,724748,722583,720348
10,14,745980,743955,739835,733479,694367,697999,696881,696183,699256,692481,694297,694856,695624,693180,701771,692691,697091,693948,694088,696043,692761,663008,661751,663217,661123,660773,672087,660354,666360,664126,659236,661192
11,11,1186053,1173971,1176136,1172085,1120332,1120332,1118237,1133811,1128433,1121031,1125012,1118516,1123824,1119914,1105596,1070745,1073888,1079475,1069139,1071024,1068230,1075284,1072141,1070814,1069907,1064808,1027023,1025836,1026115,1031494,1023951,1024789
12,17,1243394,1233755,1235292,1232009,1206447,1182701,1180605,1187800,1181863,1179977,1189476,1189056,1184447,1184028,1166288,1139050,1134859,1142053,1137583,1138073,1136814,1141215,1135139,1139678,1146732,1093373,1095817,1093652,1099379,1091418,1096517,1101195
13,21,2411497,2392570,2320005,2319656,2309669,2320564,2330411,2235147,2241782,2243598,2248696,2239687,2187654,2164048,2155947,2163908,2162232,2152804,2088270,2093159,2086733,2096371,2095254,2073393,2027367,2037704,2027019,2030162,2026879,1996009,1965767,1976523
14,29,1916738,1904726,1905005,1886846,1843335,1851785,1844662,1846338,1849201,1860725,1790674,1789068,1799893,1790465,1792630,1792210,1787251,1739479,1750305,1737594,1739410,1749187,1741575,1737105,1691777,1704489,1693245,1690870,1702184,1692127,1695410,1693873
15,24,4646994,4628555,4628974,4629813,4623457,4624505,4626739,4624016,4628276,4625832,4614587,4623457,4620593,4629464,4625902,4634003,4625412,4622340,4629672,4615635,4627578,4644689,4622340,4625342,4630511,4617381,4618289,4630162,4622828,4621222,4630581,4624994
16,36,6289323,6277869,6287857,6274238,6284994,6284365,6284016,6281920,6279546,6276892,6272701,6283946,6280803,6273329,6284853,6272911,6282549,6277450,6288206,6282829,6281571,6286809,6281990,6277939,6283945,6288765,6280175,6274866,6283736,6276682,6284294,6275146
17,32,10880444,10873599,10860050,10872412,10885612,10875834,10874088,10878139,10867453,10881491,10880304,10876882,10871923,10877231,10863892,10882469,10862494,10865707,10867803,10873389,10862704,10877720,10870526,10872063,10865986,10874298,10874717,10898113,10860679,10865567,10905797,10868152
18,48,4102507,4101250,4090005,4094336,4087422,4093497,4089726,4091891,4084208,4086164,4093357,4090075,4093777,4092799,4099574,4083161,4086653,4090006,4088050,4083929,4079110,4088259,4095942,4085536,4077364,4090076,4086164,4092799,4094824,4090285,4094265,4094265
19,48,3220964,3219078,3208602,3204831,3209021,3211605,3219288,3216494,3214817,3217402,3213980,3218101,3216215,3214888,3215167,3218729,3212373,3213979,3207344,3214189,3218240,3219218,3208741,3207903,3204760,3215865,3215587,3223268,3219427,3209371,3229345,3211047
20,45,35871933,35903292,35872771,35883387,35866835,35875775,35968944,35957000,36119802,35877381,35869978,35866905,35869628,35882060,35818295,35821647,35822486,35837641,35830656,35843438,35820670,35845324,35844695,35921381,36056875,35986684,35801254,35821438,35825838,35815292,35814034,35824720
21,44,22517134,22517134,22517134,22517134,22476696,22476696,22476696,22476696,22491223,22491223,22491223,22491223,22473623,22473623,22473623,22473623,22493528,22493528,22493528,22493528,22497579,22497579,22497579,22497579,22482354,22482354,22482354,22482354,22475509,22475509,22475509,22475509
22,60,12795366,12795366,12795366,12795366,12801512,12801512,12801512,12801512,12813594,12813594,12813594,12813594,12791245,12791245,12791245,12791245,12796413,12796413,12796413,12796413,12803328,12803328,12803328,12803328,12771550,12771550,12771550,12771550,12811919,12811919,12811919,12811919
23,73,11336790,11336790,11336790,11336790,11282243,11282243,11282243,11282243,11286294,11286294,11286294,11286294,11281825,11281825,11281825,11281825,11271069,11271069,11271069,11271069,11270999,11270999,11270999,11270999,11264853,11264853,11264853,11264853,11272745,11272745,11272745,11272745
24,77,35159756,35159756,35159756,35159756,35138106,35138106,35138106,35138106,35152354,35152354,35152354,35152354,35149979,35149979,35149979,35149979,35150817,35150817,35150817,35150817,35147465,35147465,35147465,35147465,35164925,35164925,35164925,35164925,35163388,35163388,35163388,35163388
