i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,0,13549,1117,1327,978,1047,907,838,838,838,908,908,10476,908,838,838,838,908,838,908,838,838,908,908,838,838,838,838,838,1258,838,908,838
2,0,11733,1886,1816,1746,1746,2095,1746,1746,1746,1816,1746,1746,1885,1955,2095,1746,1816,1746,1746,11174,1676,1746,1676,1677,11593,2025,2235,1746,1956,1746,1816,1746
3,2,16971,5936,5518,5378,5308,5098,5168,4959,4889,4819,4819,4819,14177,4959,5028,5028,5029,5029,4958,5028,4889,4959,5029,5028,4958,4958,5517,4889,5028,4958,4959,4889
4,2,7752,7333,7054,6845,6704,6635,6705,6705,6914,6705,6705,6705,6774,6704,6705,6705,6634,6775,6844,6775,6704,6774,6775,7403,6775,6775,6704,6844,6844,6774,6775,6704
5,2,28843,26119,25421,25072,24932,24932,25002,24723,24723,24723,24723,24793,25352,25700,25700,25840,25561,25491,25771,25771,26259,25560,25491,25910,26120,24793,24932,24584,24653,24583,24652,24722
6,8,59083,55801,54265,53636,55661,56011,56150,56639,56220,56499,55521,53357,53775,55382,54404,54404,54264,54474,54613,54614,54334,54404,54264,54264,54265,54334,57477,54824,56500,54962,58804,55381
7,12,74307,71864,71654,99380,80453,71235,71025,70397,71165,70816,70816,70537,70677,70607,70747,71026,70956,70747,70886,70746,70746,70397,70048,70816,74238,71235,71445,70676,70676,71304,70677,71235
8,18,94561,91488,90789,90720,91000,88485,87996,88834,93723,93164,93164,93653,93165,93443,93304,94072,95888,90441,89952,106573,99310,88974,85691,85551,85552,85761,87856,85622,85762,85343,85552,85482
9,23,204207,202741,199737,205325,199877,199109,199319,199039,198480,198341,198271,199109,198341,198131,249672,194150,191985,191637,191915,191846,192684,192125,205464,193382,189122,189122,189192,188983,188773,190100,188773,192474
10,24,168171,164818,164259,201763,173688,171872,171873,171942,171662,171663,172361,171732,175504,171803,173269,178227,170615,179205,175713,177389,174037,171592,171593,171872,169358,175294,172570,163492,164189,167263,167472,174805
11,33,351077,346258,344582,345141,345071,343744,344233,343814,369724,345421,363439,344791,345560,344233,344443,345141,344163,344443,344722,369724,344233,343814,344093,346048,345699,344093,344303,344652,344931,344233,344582,370073
12,26,711722,707252,708231,696428,718287,737981,695519,703411,716960,704529,709208,703272,704808,704878,706834,705367,698802,694821,696847,714446,699221,697894,723944,704808,713608,693913,693704,700548,702504,701107,704109,715912
13,43,884572,884991,878776,869836,867252,866205,879893,876401,865157,863899,883175,879753,866344,899028,874446,871093,864529,879474,866275,891975,884851,871024,881848,885829,888064,868579,887226,888553,880941,875283,871791,876471
14,54,1174681,1149539,1163017,1171188,1179359,1169931,1154636,1179639,1143044,1156592,1144650,1162109,1165671,1170490,1180337,1159665,1177544,1169512,1154916,1158688,1168465,1164833,1147933,1160503,1170699,1161900,1175727,1160503,1207923,1164624,1163296,1162039
15,53,1162110,1152751,1167836,1148840,1156592,1160014,1143183,1173842,1156103,1162668,1158967,1149679,1146745,1157500,1162389,1134524,1134244,1148979,1177404,1152471,1143463,1136828,1165252,1140180,1172795,1165601,1129215,1167976,1138504,1129704,1148351,1144231
16,61,2577453,2556640,2603782,2557758,2538063,2557408,2572075,2593027,2589464,2598404,2596588,2584436,2549378,2584646,2552520,2567744,2598404,2578989,2576125,2564741,2582551,2570468,2563695,2562646,2567815,2557828,2537645,2575776,2573122,2543999,2563625,2584436
17,68,3208511,3195172,3186792,3205508,3198525,3237913,3208791,3223666,3218149,3204042,3194893,3227367,3239938,3222828,3177852,3216683,3185674,3188957,3201178,3199991,3174639,3188956,3207114,3186582,3191959,3193985,3220105,3221920,3230022,3187630,3228066,3235608
18,88,3270109,3296647,3281003,3269690,3243500,3265569,3280794,3259214,3265709,3262008,3275346,3309497,3257328,3275696,3250065,3316062,3309497,3250973,3259982,3281423,3272204,3269899,3272553,3286521,3285333,3251881,3274160,3282051,3259354,3284425,3284495,3302723
19,87,7041098,6972656,6983970,6980198,7008343,6971539,6989277,6965463,6994515,7030552,7010578,6978243,6987043,6948981,6943883,6965673,6990465,6927681,7016305,6960434,6979220,6984040,6993119,6976637,6996610,7026990,6953590,6964765,6989277,6994376,7013232,7013582
20,101,6175871,6185438,6221755,6189769,6198428,6166024,6198778,6216377,6171680,6189979,6154989,6185230,6154571,6255347,6216307,6201292,6149891,6143745,6169237,6164697,6209393,6202409,6184252,6202549,6247036,6244732,6205902,6211767,6161624,6210301,6127473,6174824
21,107,15646923,15532737,15640008,15619755,15542304,15596429,15648180,15626739
22,105,16115538,16142705,16112674,16184188,16274350,16188308,16170360,16106039
23,141,13110535,13029941,12991182,13067584,13034690,13097544,13029382,13028125
24,138,22187558,22170588,22061779,22113739,22073931,22135110,22190073,22139021
