i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,1,4260,1397,1257,1257,1257,1187,1188,1187,1187,1188,1117,1187,1188,1187,1187,1117,1188,1187,1117,1188,1257,1187,1187,1118,1257,1187,1118,1187,1187,1187,1257,1187
2,4,5936,4959,4609,4400,4469,4400,4400,4400,4330,4399,4330,4470,4330,4330,4400,4400,4400,4400,4470,4330,4399,4399,4469,4330,4400,4399,4330,4330,4470,4400,4400,4330
3,9,15435,13270,12432,12432,12221,12152,12152,12291,12432,13340,12571,12222,12222,12082,12151,12152,12152,12152,12082,12221,12222,12222,12152,12291,12152,12152,12012,12082,12082,12012,12082,12292
4,16,15365,14177,14037,14037,13968,14038,14038,13968,13968,14038,14038,14107,13967,13898,13968,14037,14037,13967,14037,14037,13967,13967,14037,14037,14038,14038,13898,13968,14038,13968,13898,13968
5,25,48189,46442,45954,46932,46791,46932,46652,45115,44138,44068,44068,47001,47001,46512,44766,46023,46792,66206,57337,44627,43928,44208,43928,44138,44068,73749,53147,44557,44137,44557,44348,44486
6,36,62854,60410,59922,60340,59921,59502,59712,63274,64461,59991,59642,59712,59433,59572,60759,59781,59852,59991,60340,59572,60270,60619,59642,59852,59782,59711,60061,59921,59992,59712,59642,63273
7,49,93025,91278,90859,91767,95818,95050,94701,96796,91208,96866,97075,95958,112928,106154,96307,96167,90859,96586,97006,92256,97146,96377,90790,90929,90859,90859,90929,94631,94491,90790,91000,91488
8,64,167821,164330,163561,162863,165866,163002,168450,165935,166006,165866,166984,162723,170336,164539,163631,165796,162304,163072,162932,170056,173478,162862,170196,162653,164539,170335,170754,168171,168590,162863,170336,167332
9,81,161257,159301,159161,159232,184582,159162,159790,171453,166285,159162,159580,168730,170405,169288,167822,169637,165656,169707,169637,162723,167193,163492,162932,163422,170126,164330,159790,202461,159650,168101,169707,169288
10,100,253304,246739,246599,252605,257075,248136,255957,242478,249881,251767,256237,255468,272858,240733,240383,253862,256306,243875,247367,256796,248136,240174,256656,255678,242827,246529,246041,246110,277956,246320,246180,246040
11,121,353032,347446,343325,356734,342837,337877,345071,352753,387811,340811,351636,337319,350658,354778,338018,353940,350658,353312,360435,379710,347864,347166,337389,343954,346817,345630,338157,337598,343186,346258,344372,370353
12,144,493338,479649,465123,488798,464564,484957,477345,717378,484468,483211,483700,469313,463446,465612,485864,469593,476227,466729,463516,481954,483630,496201,496410,478951,500042,473154,472875,490754,468964,465193,486493,477484
13,169,533355,532727,516664,514289,533215,533005,531050,534333,519527,530911,508283,504931,527000,499553,504791,498435,517292,524415,518409,515127,521412,513590,505000,498087,508423,517502,511216,525603,510168,524974,534752,509540
14,196,583429,591530,601098,600888,617441,612202,607873,607244,596977,588387,604380,576934,574559,573303,581473,594672,580914,569251,601517,608501,595791,600050,583918,607593,613600,593765,568414,591950,581822,603333,607174,598724
15,225,859989,851328,809146,840015,875073,832891,837570,842669,863340,842459,844903,826746,826256,878845,846858,834917,821507,817178,844135,813057,861245,809216,825558,840085,817876,846649,855658,828491,809426,811730,810682,835894
16,256,916837,882895,884851,870814,886736,908107,889041,866553,879543,881848,854052,892463,858313,872559,899168,856845,875144,879334,897142,898330,887714,878007,858452,875493,867251,883385,867391,863969,871232,883174,868160,892184
17,289,1047574,1043873,1042126,1010001,1046806,1028229,1033187,1021035,1047155,1010211,1015728,1024667,1047225,1052462,1007836,1015728,1030464,1008813,1025086,1052742,1023480,1039333,1057002,1019220,1074951,1030324,1010211,1014401,1039752,1016146,1038915,1021944
18,324,1294941,1318966,1295640,1299481,1279507,1343479,1295291,1305976,1296617,1276783,1292985,1282440,1322946,1287259,1269800,1282580,1297176,1266098,1259254,1295640,1258765,1272174,1278808,1259463,1286631,1285932,1281183,1309467,1276923,1298084,1294104,1302554
19,361,1550759,1524989,1492653,1493840,1573945,1558371,1553063,1560117,1557673,1511231,1525198,1509554,1517725,1517446,1538537,1579253,1509275,1560117,1554390,1545870,1564936,1511160,1530994,1575761,1557603,1498799,1521706,1578974,1537699,1527224,1541610,1552016
20,400,1898414,1916013,1847711,1862656,1858885,1901207,1884446,1854765,1858466,1856371,1861120,1822849,1847781,1822150,1864403,1904979,1908261,1834861,1853647,1825642,1903791,1886820,1867056,1837864,1913917,1900089,1918527,1895830,1840588,1848130,1862866,1856232
21,441,2152136,2104576,2130206,2167571,2170923,2108417,2189290,2160028
22,484,2226933,2236850,2205422,2208286,2173926,2257452,2240062,2194109
23,529,2769437,2755260,2974622,2752117,2710632,2746809,2900662,2719013
24,576,3132596,3605331,3125402,3209627,3174429,3134481,3272761,3139579
