i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,0,10196,3283,2095,2025,2095,2095,2095,2096,2095,2095,2095,2095,2095,2025,1956,1956,1956,1956,2025,2025,1956,1956,1955,1956,2026,1955,1956,1956,1956,2025,1955,1955
2,0,6565,5378,4260,4331,4191,4121,4051,4121,4051,4120,4051,4120,4121,4121,4331,4190,4260,4260,4121,4121,4121,4261,4330,4190,4051,4051,4190,4121,3632,4120,4190,4121
3,1,15086,12501,11105,10686,10756,11035,10825,10966,10825,10756,10686,10686,10616,10616,10896,10756,10825,10826,10267,10616,10546,10755,10616,10756,11524,10895,11035,10896,10895,10756,11384,10756
4,1,28496,27518,26959,26330,26680,26958,26051,26051,26121,25911,26051,26191,26191,26051,26051,26051,25911,25562,26819,25632,25562,25981,26120,25982,25701,25772,26121,25771,26470,25911,25911,26540
5,3,105600,97709,96033,95963,94776,95195,110420,95753,95404,94984,95683,94845,94915,94636,94496,95124,94705,94705,95054,94915,95055,94076,94287,94845,94286,95054,94775,93937,93309,95125,94915,94984
6,3,99874,98477,98127,96661,97849,97360,97430,97429,97918,97779,97150,97499,98197,85556,45467,51683,56502,56292,44908,56642,56852,44769,56013,43721,44769,102527,97848,97080,97011,97360,97569,97289
7,9,395444,379729,377216,376726,374282,375120,372047,408574,373165,373095,372816,371488,371279,374421,372256,373932,374212,406340,350746,350187,348231,351793,352212,353609,355355,354168,354657,353539,389229,373304,349908,351444
8,7,453553,450060,449432,433439,213088,263373,451737,477508,392441,243398,319456,215252,218744,217208,215602,216160,216579,217138,216230,219094,217347,225170,222725,241583,228523,228453,224052,213576,213437,210713,211900,211062
9,12,526956,520740,521648,538271,518506,520461,520601,517947,516830,518435,519483,525839,520670,519833,523604,520600,519064,519414,521718,550703,519204,517109,518156,519274,521090,519274,538131,503420,507191,526887,528423,551540
10,14,1343756,1267209,1266023,1275800,1259458,1282714,1273635,1288930,1244581,1230752,1222092,1214060,1215177,1217691,1214549,1211196,1216574,1213222,1213781,1211266,1218949,1209660,1211546,1219438,1212942,1212453,1225933,1210638,1210218,1213640,1218180,1212174
11,11,1483161,1481764,1476944,1479947,1506278,1504043,1480925,1474151,1474290,1482742,1470938,1484068,1477922,1476037,1482462,1473732,1477782,1480157,1474430,1481135,1476316,1479180,1479249,1477433,1476805,1479529,1475129,1472334,1477992,1475129,1483440,1473662
12,17,1032332,1024440,1030446,1022275,1022833,1026256,1055170,990916,1136466,1058453,1059430,1073747,1019550,1010820,994547,995944,995804,1004046,994757,994687,998179,1006001,995944,995875,994896,1005023,997341,994197,1075284,1134859,1097564,1066973
13,21,3479309,3414285,3264405,3257631,3233955,3229066,3224176,3228437,3279701,3219358,3238843,3230602,3232488,3237726,3229485,3226132,3226342,3256863,3227040,3230742,3228088,3231021,3236538,3234443,3235072,3223548,3237027,3238425,3230044,3233186,3232767,3231021
14,29,3377479,3369098,3364489,3376921,3367422,3363371,3366304,3366584,3365676,3366234,3373847,3361695,3369797,3366514,3373708,3366305,3398920,3366165,3370076,3362813,3367282,3367911,3366584,3356527,3369168,3373987,3365257,3369727,3368889,3363022,3358622,3373428
15,24,6423908,6380397,6382213,6380677,6381654,6386543,6374391,6382213,6387661,6376276,6384797,6378441,6384797,6379140,6380048,6382422,6373552,6373693,6368663,6360841,6368454,6357559,6369920,6368664,6362238,6371596,6358118,6368594,6359934,6374041,6374670,6354974
16,36,10771490,10758150,10756195,10749420,10760455,10764716,10761224,10797961,10749490,10750189,10756265,10760246,10760246,10759826,10753331,10747255,10769395,10752633,10754309,10757801,10761294,10757173,10774075,10758290,10761922,10753332,10759478,10758220,10760595,10761852,10756823,10753052
17,32,23078592,23099545,23119799,23054217,23074262,23083131,23102268,23064554,23049538,23056731,23061760,23063576,23036408,23061760,23059176,23078383,23061690,23099824,23059385,23143894,23224841,23081456,23062947,23065671,23053379,23071677,23055335,23077265,23052053,23083201,23069932,23055055
18,48,7634546,7614083,7599625,7618063,7608915,7608076,7617016,7620438,7602698,7608076,7613733,7612336,7610520,7615060,7608146,7603117,7616946,7599695,7612895,7613873,7614711,7610939,7606121,7612197,7611987,7613943,7600673,7607936,7609822,7609473,7614501,7614991
19,48,3355479,3348215,3339275,3343955,3344164,3345561,3339415,3339974,3342419,3348285,3338019,3347168,3343397,3338857,3345702,3328870,3348216,3344654,3341930,3348914,3348635,3345072,3340882,3346260,3347866,3346679,3344235,3339555,3346260,3348076,3345492,3345841
20,45,56978471,56953678,56935099,56954376,56929443,57009342,56986154,57050478,56959404,56948370,56993418,56949417,56962687,56985595,56967227,56964783,57052993,56980008,57011926,56995793,56944040,56936148,56947671,57015488,56953957,56959126,56931957,56936288,56921621,56992929,56932307,56930281
21,44,33157461,33157461,33157461,33157461,33119537,33119537,33119537,33119537,33137277,33137277,33137277,33137277,33148382,33148382,33148382,33148382,33156344,33156344,33156344,33156344,33178484,33178484,33178484,33178484,33145798,33145798,33145798,33145798,33128756,33128756,33128756,33128756
22,60,13533384,13533384,13533384,13533384,13490640,13490640,13490640,13490640,13490501,13490501,13490501,13490501,13490990,13490990,13490990,13490990,13490990,13490990,13490990,13490990,13483587,13483587,13483587,13483587,13478209,13478209,13478209,13478209,13477720,13477720,13477720,13477720
