i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,0,3841,977,908,908,838,838,838,838,838,908,908,978,908,838,768,838,908,838,838,838,838,838,908,908,838,838,838,838,768,838,838,838
2,4,4399,3143,2933,2793,2864,2793,2793,2724,2864,2793,2723,2793,2793,2723,2653,2653,2723,2793,2724,2794,2724,2863,2793,2723,2724,2654,2584,2584,2584,2584,2584,2584
3,7,11244,9219,9219,9638,9498,9428,9428,9429,9009,8870,8660,8660,8730,8730,8660,8450,8590,8521,8590,8520,8660,8590,8521,8660,8939,8730,8729,8729,8660,8730,8660,8660
4,15,19415,17878,17459,17180,17389,17110,17320,17180,17250,17111,17250,17180,17599,17879,17879,17809,17948,17809,17948,17879,17948,17808,17809,17669,17808,17948,18158,17530,17669,17808,17739,18228
5,18,56988,44627,24723,25142,24932,24653,24723,24653,24583,24652,24653,24723,24793,24583,24653,24583,24723,24792,24583,24723,24723,24653,24723,24793,24723,24793,24653,24722,24583,24723,24723,24793
6,24,32475,31427,31357,31078,31148,31148,31078,31078,31008,31148,30938,31218,31217,31288,31078,32544,32545,32265,32545,32684,32545,32335,30310,30380,30310,30240,30310,30380,30309,30310,30310,30240
7,31,91349,89044,84435,83736,83667,83596,83736,91558,86180,83456,83666,88904,88904,89463,88904,88624,88694,89742,89254,88276,85692,83806,83806,129830,83666,87927,91070,86739,86739,89323,89114,89393
8,54,134229,127874,126966,128712,127175,120541,120750,120541,121030,123683,125430,122426,120611,120401,120471,126687,120471,121449,120262,122287,128154,126617,124871,120471,143867,138489,120471,120122,126477,123055,123125,123195
9,65,274395,276350,267691,268388,279074,274255,276350,277468,278445,279772,290318,288711,275652,265455,272230,276630,274953,263989,276001,277887,264199,265525,264129,278235,263640,306311,264827,263150,274325,278306,263779,265874
10,82,595860,575537,575537,602006,563107,570579,567157,566738,596558,585525,615485,580007,580146,563107,581334,568414,568973,596349,575118,568344,571277,590832,595302,584407,575886,577633,561709,573163,584896,581963,577981,576725
11,88,292972,289550,289479,283054,273696,273976,273347,279283,290736,289340,287455,295626,293111,274325,286267,273626,273417,289410,289201,288293,291785,292343,288362,291575,279981,292133,290248,292203,291575,275233,286896,273557
12,110,814873,794201,811451,823324,821927,827863,830238,811870,823533,811591,796436,798741,829888,806214,806842,823743,814315,812568,801674,790779,810963,807749,803490,816829,799229,811033,807680,802023,796646,815432,789871,812569
13,122,685812,659064,665769,662765,678619,674988,656829,667794,665350,667026,661229,655153,649776,672962,658645,675756,679387,661020,666048,681203,667654,664930,661718,662835,672473,656550,681483,668981,660182,656201,651521,677153
14,153,714865,712979,706694,725760,722547,713049,726249,743988,722268,715633,721499,717659,747549,734979,716750,724572,734769,727506,716890,723036,726668,718846,728483,710535,730858,730020,721779,736515,702783,707672,735886,733023
15,172,715842,676244,685533,684695,710046,700548,685533,702015,695450,696916,691329,675266,690631,705996,701177,703062,683368,677850,689513,684974,684834,688815,666817,674778,702433,698662,703341,690282,679806,676593,707601,688536
16,189,2910581,2883694,2936072,2922454,2919242,2962122,2909325,2937539,2943755,2900594,2912397,2965823,2925876,2939983,2949411,2934466,2948783,2911559,2888093,2917984,2949202,2952414,2925526,2958281,2939076,2921476,2904435,2936491,3104802,2978883,2925597,2984960
17,211,1082494,1052673,1100792,1046248,1082843,1065313,1053929,1071599,1053092,1089338,1063218,1062240,1100862,1079910,1087452,1066501,1086265,1070552,1066431,1048692,1087382,1075021,1078234,1070691,1047435,1075720,1055676,1090456,1106658,1067897,1079142,1050718
18,244,1722492,1753011,1760135,1737507,1750079,1729336,1741208,1753221,1764186,1757271,1726543,1736949,1710410,1707128,1718651,1781296,1708245,1745957,1753430,1708804,1753780,1736949,1762300,1772426,1745329,1736110,1716346,1749100,1716416,1781435,1716625,1742745
19,280,1818450,1793239,1783950,1853509,1823478,1794495,1846525,1835770,1795543,1824317,1818660,1827669,1801898,1793587,1784509,1820196,1802946,1854556,1824526,1813282,1835910,1803574,1845408,1863635,1814120,1815097,1815517,1821732,1807625,1840589,1830043,1822152
20,299,1775290,1750357,1722701,1747215,1700283,1788140,1718790,1763068,1726962,1750078,1735342,1739113,1780458,1748053,1772985,1732130,1731152,1779271,1774242,1770401,1712366,1727381,1759088,1768934,1757481,1791004,1777944,1736879,1750427,1721235,1781296,1702379
21,323,3299581,3285054,3322487,3320812,3273531,3286520,3347489,3311872
22,368,3610152,3573417,3590387,3545202,3505674,3551348,3575791,3553303
23,392,2889769,2826286,2823842,2836971,2808268,2798421,2817975,2879573
24,424,3126382,3155924,3194824,3141607,3159066,3126452,3155923,3176386
