i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,1,8380,2793,2445,2584,2514,2584,2584,2444,2374,2305,2305,2305,2375,2305,2305,2235,2234,2374,2234,2165,2235,2235,2235,2235,2305,2234,2304,2235,2305,2235,2305,2235
2,4,11244,8939,8311,7752,7962,7961,7682,7962,7891,7822,7682,7682,7682,7752,7822,7613,7752,7752,7752,7753,7682,7752,7613,7892,7612,7542,7542,7752,7613,7612,7683,7682
3,9,29542,24094,22907,22488,22418,22138,22418,22349,22838,21999,22139,22069,21999,22139,21999,22139,22279,21929,21999,22138,21859,22209,21929,21999,22208,22208,22279,22069,21999,22139,22069,22279
4,16,52588,50004,49306,48678,48817,48468,48538,48887,48189,48467,48608,48747,48677,48678,48817,48677,48468,48957,48607,48608,48957,48608,48608,48607,48677,48049,49027,240384,49864,48817,48748,48397
5,25,94282,91767,90371,141283,69420,69559,69699,69769,69349,69559,69419,69489,69279,71235,72282,71863,72143,72213,69489,84434,69210,68930,68371,68162,68162,69071,68651,68162,68092,68791,68232,68093
6,36,222924,217267,212169,204207,203439,204277,203509,204138,235146,181370,180742,180183,180462,179973,180253,180392,180043,180253,180043,180113,180392,179903,180532,180672,179973,183954,181230,180114,180393,180043,196665,180183
7,49,302191,290248,290807,289480,290109,289061,288223,289620,287944,288432,288083,288433,289550,271322,267969,265385,265596,267342,266503,265456,277956,265526,265526,278724,283683,283683,275233,284033,273557,275442,274535,278725
8,64,342906,319022,317764,316367,319510,315320,320279,326774,323840,332011,320418,308895,319650,328240,328450,314551,325796,308476,327123,323212,290527,293531,307847,302819,308126,300095,299327,304076,309663,289619,307149,308267
9,81,400872,389628,392701,373635,383203,367350,386346,380828,389419,379432,372727,378873,382644,376079,376289,375451,375172,374193,388650,391514,397170,346538,366162,369933,360156,348773,363718,359667,367070,353451,369725,369515
10,100,742172,718078,717519,736166,716960,706275,737074,727366,732813,719265,712420,682041,712351,666118,666327,683437,706065,709208,678549,670867,710604,678339,684066,689165,680994,694193,693285,690910,645516,631129,631059,630361
11,121,706484,708440,700129,702714,688117,697126,701037,691749,712491,690003,705996,708858,691120,700827,670099,661997,683717,667515,657458,693424,670587,688117,670727,678340,662556,644119,665001,660391,686162,678200,679527,646842
12,144,547113,538314,526372,541875,539640,565411,538104,526441,557659,562967,562687,548719,546485,546555,526721,546694,562547,559265,544180,551723,506468,504233,524904,535101,531330,520714,525673,538244,503464,522460,512753,515267
13,169,868369,834568,828422,861176,810823,828772,818505,809566,784075,814385,807750,816689,817109,776392,805166,798252,796506,794969,797832,808937,780792,802512,746012,779116,763961,768082,766825,762634,771155,793643,753137,751251
14,196,780094,764520,776881,777580,755092,726807,709069,724293,737353,709697,718148,730369,704389,704739,709907,715424,734490,725621,740286,727575,733582,679876,706275,696288,705087,710675,713189,708300,708231,689863,698243,692657
15,225,881010,876890,869278,880661,854890,810403,814803,833311,838409,838479,841831,808099,816968,813476,825349,831844,867252,849024,846580,827584,814105,787496,818784,826327,805445,793224,791548,809845,803001,780373,811591,832473
16,256,1122791,1054698,1044991,1079840,1048343,1082913,1091084,1083332,1058051,1066711,1090525,1082703,1046108,1057632,1074951,1015380,1028299,1066152,1028299,1021944,1048413,1035911,1015100,1044711,1026204,994777,992263,1020966,978365,1007977,1012306,1019988
17,289,1057212,1098836,1076488,1006720,1040870,1046597,1010071,1018382,994428,1034166,1019639,996453,1027042,1015309,1034096,991704,1020058,982276,993869,971870,999595,1023829,998758,1030115,979412,966562,1024808,987444,997919,984092,983254,966353
18,324,1187810,1178382,1190883,1195911,1189905,1210298,1183620,1153938,1205899,1154986,1216653,1187670,1154986,1175658,1166299,1153869,1152891,1168674,1196191,1223427,1205060,1188927,1164973,1199753,1178731,1182921,1201079,1229643,1211695,1187880,1217911,1208273
19,361,1440835,1410175,1396557,1396487,1429381,1390481,1367574,1388176,1394951,1394531,1403611,1358075,1357726,1354933,1367155,1368273,1379237,1375745,1348578,1393484,1382798,1377072,1374209,1348019,1354444,1359961,1374628,1351651,1383358,1378189,1350953,1408499
20,400,1646298,1620109,1626255,1622135,1628979,1635124,1622903,1579812,1600624,1596224,1644692,1624230,1640642,1600973,1604395,1644203,1649441,1640013,1647905,1653003,1622623,1616058,1618852,1649581,1617455,1613754,1645600,1635753,1639175,1636102,1649581,1661174
21,441,2555384,2504262,2538064,2540438,2564323,2537506,2514389,2508173
22,484,3153549,3135461,3164443,3107106,3154667,3140768,3151175,3113881
23,529,2721040,2692407,2695200,2721041,2718316,2654694,2701905,2686959
24,576,2923432,2875244,2899967,2897801,2899547,2952135,2925038,2942987
