i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,0,6914,2654,1886,1956,2025,1397,2025,1397,1956,1956,1956,1885,1886,1955,1327,1816,1257,2375,1327,1816,1816,1816,1746,1886,1886,1816,1885,1885,1886,1816,1746,1816
2,3,7473,5517,4819,4959,4680,5168,4400,5378,4330,4679,4680,4889,4679,4889,4889,5029,5169,4819,5168,4680,4959,4679,4959,4959,4959,4889,4889,4819,4959,4539,4330,4539
3,4,26121,24933,23048,22629,23048,22559,22559,22629,22000,22419,22349,22559,22489,22418,22489,22629,22489,22489,22489,22419,22489,22489,22418,21930,22279,22489,22210,22349,22489,22419,22349,22488
4,9,55663,50075,49028,48889,48329,48121,48400,48539,48749,48748,49238,48818,49098,47981,48470,48260,48539,48400,48260,48329,48330,48330,48400,48539,48818,48609,48330,48330,48748,48470,48329,48470
5,13,138704,114678,113072,112583,111466,111326,111605,111465,111465,111536,111536,111186,111326,111536,111256,111116,111535,111117,111047,111117,111815,111256,111326,111326,112164,111745,92749,111186,111186,111186,110837,111046
6,19,162520,171040,157909,126901,138564,107625,107066,154977,107415,107135,124037,150926,126272,94913,94285,94145,92818,92958,91281,91770,91421,91561,91701,91701,116564,159516,155605,149529,149390,149669,149528,149319
7,22,133535,136888,136608,122361,126970,132418,122221,122221,123059,123409,123199,122849,123408,137586,122361,122151,121592,122430,122361,122361,122291,122221,122291,122011,122430,122221,122361,122360,122361,122151,122361,122151
8,31,380352,365546,362543,361775,368339,361076,361146,362613,362962,361356,361984,379095,329159,328321,328251,328740,328251,328810,329299,288652,221954,220696,221046,220417,233966,219509,220277,220347,220417,219928,219998,220068
9,39,165942,154837,152252,200024,181306,152392,152183,151834,151065,151415,150926,151205,150995,151135,162450,151974,150576,150926,151275,150786,151135,150995,150786,150996,151415,150507,150996,150995,150925,173624,225167,226075
10,51,276918,267908,267838,277966,213991,202608,202747,203027,202608,202887,202119,202607,202538,202817,202747,203096,203306,202258,202049,202398,202259,202608,202817,222792,209941,203097,202748,202887,203027,202468,202189,202957
11,65,271890,269655,268118,267420,267979,267211,267141,275592,267350,267699,268049,267420,266931,267489,267420,267281,267699,267699,267629,267350,267210,267140,279293,258550,258480,258061,258550,258271,258760,257921,258271,258411
12,69,298290,298080,296334,297381,304226,294728,295216,295007,294867,295007,294937,294657,294797,294937,294797,294797,295356,294867,296264,294448,294587,294728,295007,295915,296194,296124,294727,296613,294798,295565,294867,304715
13,79,346619,343266,343407,343266,342220,342777,342848,342918,343127,342848,349762,342639,342498,342429,342847,342708,342499,342917,342568,342010,341940,342359,349134,342638,342219,342498,342708,342150,342289,342917,342638,342150
14,93,683740,649519,648959,648890,647703,649519,651823,648261,647213,647423,647492,647981,655525,648191,648331,648819,648820,647353,648680,647004,628077,627867,628985,628357,628496,635131,628146,628985,629404,627239,627030,635619
15,116,817066,812247,811129,810152,817345,791574,822304,812945,817415,811688,788361,790037,793739,796463,813713,794298,789339,788152,787174,796044,766571,765104,765523,765803,772228,764546,797022,764825,812736,799746,765593,765104
16,132,827821,857224,831244,837460,917148,857992,841091,855129,838297,891446,840113,863160,843745,857155,883344,973997,967013,978258,844583,877268,989293,868608,850171,876291,881179,888722,854780,869655,822653,830684,823352,822793
17,141,1162148,1169063,1162079,1160402,1161241,1207126,1223468,1215647,1174580,1161241,1174371,1185126,1176954,1192669,1160402,1165361,1192739,1160961,1181983,1128765,1129812,1161590,1210897,1161660,1176117,1156212,1127647,1162847,1148390,1128625,1196300,1160681
18,170,1151952,1142034,1113190,1120524,1104809,1103343,1103971,1144549,1103272,1121152,1128067,1106136,1155653,1103342,1110467,1104669,1104949,1132187,1122129,1104390,1119965,1144199,1107672,1105787,1114028,1107952,1155584,1107394,1111165,1123876,1143222,1199793
19,178,1150415,1149158,1133164,1326064,1585593,1979773,1956446,1973278,1963500,1914681,1763058,1663884,1782194,1791762,1793298,1799444,1568831,1111304,1101596,1683509,1701248,1713750,1705648,1717801,1545853,1515193,1521059,1514425,1542780,1515752,1510443,1527555
20,199,2940641,2957542,2956774,2963129,2840070,2845099,2843772,2839442,2767017,2745576,2739988,2746763,2710027,2654015,2644097,2653246,2655761,2573907,2593952,2616370,2527393,2557844,2484232,2510702,2501832,2533959,2449522,2408246,2412366,2415090,2405102,2375979
21,218,1685394,1673941,1683788,1657248,1635040,1659832,1610455,1590621,1597046,1590481,1617509,1602982,1591319,1592646,1576164,1546831,1553117,1542920,1552627,1542081,1613877,1539078,1591599,1594532,1525250,1500736,1527625,1509397,1544247,1511422,1516869,1576373
22,247,1950998,1965526,1901272,1904764,1900084,1901691,1901551,1958542,1952046,1960497,1916148,1906929,1901900,1915100,1939125,1901202,2020490,1955190,1940033,1896522,1920967,1898408,1921596,1915939,1976839,2045353,2086559,2069797,2039348,1976700,1950300,1915799
23,277,2633971,2747461,2616440,2558193,2501692,2479832,2524810,2502111,2465725,2512517,2465305,2478366,2541781,2521457,2526206,2476689,2461185,2483743,2478016,2624821,2541990,2537451,2486956,2470752,2461813,2560917,2537311,2578447,2538498,2495337,2468238,2472568
24,288,1608849,1565060,1579796,1532444,1529929,1552418,1522108,1519942,1548647,1520570,1617091,1556050,1676595,1606964,1633572,1610945,1608640,1615205,1526158,1552767,1573091,1557098,1559681,1613599,1574208,1555072,1561916,1521478,1513796,1520151,1580494,1513167
25,328,2157517,2110305,2097734,2106883,2063512,2042211,2106673,2084743,2126928,2099829,2095709,2092006,2037182,2046262,2133144,2098921,2122178,2120083,2097245,2087746,2092915,2040953,2050731,2048496,2043118,2214088,2161638,2116452,2056178,2040185,2097804,2057436
26,352,3079205,3012297,3055179,3186619,3098760,3079624,3074385,2993440,2924577,2928278,3057275,3198702,3125509,3041979,2955028,2958869,3090100,3088214,3293615,3172931,3178239,3168461,3247032,3077249,3006291,2934494,3069986,3240327,3050221,3025777,2916057,2988202
