i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,1,9638,3841,3631,2934,2933,2864,2933,2864,2864,2864,2863,2305,2863,2793,2724,2724,2794,2724,2235,2654,2724,3562,2724,2793,2724,2794,2724,2793,2794,2724,2724,2793
2,4,14737,13200,12642,12432,11943,11803,12222,11943,12012,11943,11803,11873,11873,11873,12152,11733,11804,12083,11734,11733,11663,11803,11734,11873,11943,11734,11943,11664,11873,11873,12013,11873
3,9,40998,35480,34851,33384,33663,32965,33036,32965,33244,32966,33803,33175,32965,32686,32546,33245,32756,33035,33525,32686,32546,32616,32826,32476,32546,32546,32407,32686,32686,32616,32965,32407
4,16,40718,37715,36877,36458,36528,36248,36388,37016,38343,38204,37854,37435,37365,37155,37505,36667,36597,36248,36388,36667,36947,36807,37785,36318,36038,37086,37156,37016,36597,36109,36597,36667
5,25,121874,118522,117613,118870,118731,142268,116985,120338,118731,120127,121734,117194,117753,117195,116915,117265,118172,116985,117195,117474,117125,116356,117823,118941,117893,116916,117125,117963,119290,117334,119081,119988
6,36,165944,158541,158960,156655,194091,149182,147925,147925,148274,148344,148065,147995,148623,148483,150998,149741,148693,150370,149043,150439,149112,148135,147995,150020,148832,147576,149321,149112,150299,190389,148833,148693
7,49,230129,228243,226567,225239,227335,226567,225170,224052,224262,225031,226497,223982,219303,221468,220840,231455,221608,220281,219653,227196,223843,222795,226497,224611,224122,226706,224681,224262,234809,226148,223773,225100
8,64,453413,389927,381965,379101,379311,380568,380987,379660,379451,377076,413394,374771,381685,381196,382454,379590,380567,383850,381406,378752,410391,382104,379660,382803,381965,379799,380009,380498,378473,380848,395654,358987
9,81,347533,340758,340828,345158,344180,343831,343691,342644,343132,365273,337336,336847,336987,337825,337615,334961,338104,334612,335450,335031,343202,336149,336847,337615,340968,337755,334053,340200,338454,337057,337266,340688
10,100,526118,494550,492245,489242,489800,493223,487565,496017,488823,492454,493292,490639,490709,489032,488962,496226,492105,486517,483864,491058,488614,490987,489660,510753,468429,462423,460467,465845,474645,464309,468429,466962
11,121,675230,664195,665453,666919,662798,673903,659795,663357,664754,655396,656932,674741,626970,624036,640868,639542,634373,641706,635561,629973,626970,627947,621872,624455,628087,628646,627389,628436,623128,625852,631510,597706
12,144,830838,821549,817358,826577,821828,822596,823085,823714,825251,820990,827066,823155,818546,812749,791587,782158,784184,782019,790330,779993,783624,790819,786279,797105,791238,789771,788374,791866,777618,755689,755758,754641
13,169,817848,806184,804437,807860,805764,811841,803809,809606,807650,806672,816590,772939,770215,768888,769098,772659,766583,765955,775454,777758,782647,778037,779784,774965,777968,791726,747307,743885,739066,747517,751358,756736
14,196,847879,838730,844736,846482,849416,847809,846972,842781,846204,813238,814146,816172,814425,823365,814914,838031,816660,816031,812470,812609,815193,813308,829232,785301,785371,785721,784673,791028,786140,785581,786349,785720
15,225,1150294,1131088,1125430,1142542,1092396,1092046,1094351,1103011,1089532,1095748,1100916,1093094,1121799,1126060,1148339,1128085,1060618,1062363,1068370,1055868,1057754,1061944,1060478,1053772,1058382,1036941,941816,945797,939372,946845,937416,937975
16,256,980997,1017036,989099,975340,990356,1004674,981487,988680,994128,973385,974991,967937,986027,1004045,1004046,1000624,995874,1004115,967588,969474,966331,989728,966959,971569,970312,977505,970243,965982,963886,977924,944400,942236
17,289,1116071,1120891,1115793,1111671,1120961,1108319,1111043,1108948,1118307,1113208,1119285,1122497,1119564,1121170,1122916,1122148,1116840,1148688,1125989,1118935,1117259,1118516,1131088,1117818,1117399,1113627,1110066,1129063,1115094,1128574,1123615,1117538
18,324,1406683,1380353,1381401,1403401,1390619,1390550,1425401,1387267,1382727,1388594,1409757,1395649,1382588,1388943,1400817,1389293,1388315,1394811,1385800,1379934,1387058,1386290,1392855,1380982,1374765,1347387,1383845,1349553,1348016,1356606,1348086,1353743
19,361,1603917,1609294,1610132,1624520,1607688,1600285,1595815,1615580,1595396,1606850,1607828,1599307,1606151,1607758,1603428,1604545,1627453,1616558,1596933,1615790,1612647,1609713,1610342,1596303,1600145,1595396,1599796,1595326,1605942,1630666,1595186,1631155
20,400,1988047,2033304,1982040,2012701,1985882,2029254,1995380,2008161,1984834,1984904,1974986,2023037,1983716,2007742,1975335,2015075,1982808,2028135,1996707,2019895,1981272,2027158,1987278,2026739,1991050,1998034,1990071,1987069,1977850,1990770,1997545,1997335
