i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,0,9639,3073,2026,1956,1956,1956,1956,1956,1956,1956,1886,1886,1886,1886,1885,1886,1816,1886,1886,1886,1886,1816,1886,1816,1885,1885,1886,1816,1886,1886,1886,1816
2,4,14108,10895,10825,10965,10896,10686,9568,9778,10336,10546,10477,9499,9219,10267,10476,10337,10267,10197,10406,10546,10546,10406,10406,10336,10546,10266,10267,10337,10477,10267,10267,10266
3,6,14038,13130,13200,13479,12921,12502,12781,13130,12781,13060,12712,12921,12851,12641,13061,13060,12851,12851,12991,12502,12711,12712,12711,12642,12571,12432,12292,12362,12432,12362,12362,12293
4,8,71867,66140,65651,65442,64395,64814,63487,64534,77594,63766,63416,63765,63347,63206,62509,62858,73893,72147,63346,64185,62858,63137,62718,62997,63137,63626,63766,63276,63137,63696,62787,62928
5,13,73054,69841,68794,68864,68375,68375,69213,70749,69213,69074,69423,69423,69352,68725,67886,68445,68445,68165,68305,68096,69423,67887,68096,68515,67677,68026,68795,68306,68934,68725,69422,68794
6,20,109791,91842,90654,89886,88979,88350,90375,88210,88769,89328,100642,83530,100852,100921,83181,87302,61461,88141,88420,94636,57899,45257,218535,85277,83322,91633,84928,99385,88699,88630,87931,89468
7,26,178306,176350,173138,173068,172021,215182,174954,177957,173836,175443,172090,171601,173417,173906,173557,171811,170833,169506,168877,168807,168459,168528,170833,170763,169017,170344,169366,183684,159798,161474,183195,161195
8,31,228313,222935,222097,221119,221677,221818,222726,220141,220770,221748,221957,220071,222307,217907,267285,219443,219722,222237,218326,221119,218395,221677,221189,221189,224960,224821,221608,220002,223703,223284,221468,252129
9,31,736132,753942,769727,746050,706170,699745,664545,674951,674113,685288,671389,687522,654139,651484,649040,656443,653999,676417,654068,648761,651763,651344,652742,649249,623757,624805,623688,625294,625154,633605,625922,621871
10,53,921422,888946,899143,890274,889016,888038,900890,864781,851441,853537,882521,859194,856121,854444,882591,837264,829721,854585,827066,824133,840477,819174,828742,825739,831047,840267,827904,834749,835238,824971,842921,809885
11,60,696043,682354,672576,698488,649249,650227,650786,651763,650926,646036,645827,649249,652183,650995,653160,651275,658468,648412,651974,650297,652322,650018,651275,630741,625643,625503,626062,620405,630183,623966,625084,625433
12,72,1033100,1024370,1018084,1015918,1005582,1018642,981486,983093,981766,986794,982814,981626,972896,987074,982534,977994,977645,996083,945868,944400,944750,950686,947963,946286,946077,945030,952293,949429,952503,950058,942165,917442
13,88,1150714,1145475,1147641,1135628,1141005,1163494,1140935,1143380,1162237,1107690,1107900,1108460,1113069,1109926,1106294,1104897,1112860,1099938,1107411,1117189,1072281,1071024,1073818,1075494,1078357,1069906,1071374,1076890,1070675,1071583,1087856,1039595
14,90,365342,364644,364714,358986,353329,354936,351444,381406,352911,354448,354168,353749,354936,356123,356961,352003,356403,357101,389088,356333,357311,379101,356543,356682,377844,354028,379660,355774,373165,343692,348161,346066
15,113,847041,842921,828254,836495,829371,837263,835448,829022,841454,830419,840197,835867,855492,807720,810095,812191,805765,815682,809886,816870,805485,807092,813378,805975,815752,814356,809676,812609,786558,783136,786139,793403
16,123,543578,530099,530379,527795,527795,527654,527934,534849,528004,527026,523604,526607,526258,531846,524233,539318,515503,513826,515711,512359,513966,512149,514943,513686,513477,514524,512639,513198,513686,513198,517318,514454
17,141,682634,678304,679351,677116,683052,667059,665872,665034,667059,671668,670760,671389,664545,660633,662938,665732,671948,664544,658259,666849,662798,660005,669084,666501,672646,665383,665662,666291,676138,664964,664963,666500
18,161,887061,885594,872883,871626,873162,874489,884267,873442,878540,872394,906267,868832,863874,872114,869810,871766,869879,872673,871626,880216,869530,868693,866178,872534,878889,870648,875187,871556,879727,874699,871346,870159
19,181,1630875,1617117,1607688,1610832,1605733,1619352,1606920,1620050,1617117,1613835,1610412,1607130,1617955,1606571,1614463,1620679,1607199,1620818,1607060,1613904,1614113,1608317,1613694,1609434,1611739,1621797,1608666,1608945,1614463,1607898,1616488,1612647
20,205,1436296,1417579,1414506,1473103,1599657,1505510,1532817,1439020,1480995,1415693,1408499,1482672,1411014,1408989,1453687,1417928,1447262,1418277,1512354,1621378,1522691,1524018,1540849,1491821,1536449,1463675,1441465,1489516,1441464,1450893,1487560,1456341
21,240,1704279,1704279,1704279,1704279,1611251,1611251,1611251,1611251,1609504,1609504,1609504,1609504,1655460,1655460,1655460,1655460,1648546,1648546,1648546,1648546,1715174,1715174,1715174,1715174,1630177,1630177,1630177,1630177,1688355,1688355,1688355,1688355
22,214,2684229,2684229,2684229,2684229,2710001,2710001,2710001,2710001,2660134,2660134,2660134,2660134,2598813,2598813,2598813,2598813,2613969,2613969,2613969,2613969,2593854,2593854,2593854,2593854,2551321,2551321,2551321,2551321,2595879,2595879,2595879,2595879
23,281,1569275,1569275,1569275,1569275,1597422,1597422,1597422,1597422,1566062,1566062,1566062,1566062,1597841,1597841,1597841,1597841,1559497,1559497,1559497,1559497,1564665,1564665,1564665,1564665,1588203,1588203,1588203,1588203,1555377,1555377,1555377,1555377
24,281,2735424,2735424,2735424,2735424,2737100,2737100,2737100,2737100,2721595,2721595,2721595,2721595,2733817,2733817,2733817,2733817,2725087,2725087,2725087,2725087,2711817,2711817,2711817,2711817,2706859,2706859,2706859,2706859,2786408,2786408,2786408,2786408
