i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,1,4540,1327,1258,1257,1187,1257,1257,1258,1257,1188,1257,1257,1257,1187,1187,1188,1187,1187,1187,1187,1257,1257,1187,1187,1187,1188,1117,1187,1187,1188,1187,1117
2,3,3352,2793,2653,2584,2584,2514,2584,2584,2514,2445,2514,2445,2444,2444,2514,2444,2445,2514,2445,2444,2514,2514,2444,2515,2514,2514,2514,2514,2514,2514,2515,2444
3,7,7542,6076,5866,5797,5797,5796,5937,5796,5796,5797,5727,5796,5867,5796,5797,5727,5866,5797,5727,5796,5796,5727,5797,5726,5727,5727,5727,5727,5657,5726,5727,5727
4,14,26260,24234,23955,23605,23116,23116,23046,22837,22976,23047,22977,23116,23047,23187,22977,23116,22837,22837,22977,22907,22768,22907,22837,23535,23884,23186,22977,22977,23046,22907,22977,22837
5,17,26050,24024,23047,23396,23675,22837,22907,22907,22767,22768,22767,22697,22768,22697,22767,22976,22767,22767,22907,22767,22768,22767,22767,22768,22767,22697,22767,22698,45604,32963,22767,22698
6,23,63204,60270,59642,59293,59502,59433,59432,59502,59503,59362,59363,59432,59433,59502,59293,59432,59363,59223,60829,59642,59572,59572,59642,60131,59223,59432,59432,59293,59223,59502,59503,59502
7,37,154552,147010,146172,145683,148476,150781,151061,150501,142820,143378,142610,143797,179345,150222,150921,151828,146870,146101,146312,145263,145193,147079,144426,142540,144845,151758,145752,143518,143169,151549,143378,143169
8,46,133880,132693,131855,129830,137232,138908,135906,149244,145124,137372,138420,138280,138629,138699,137372,129410,131785,133671,129690,129620,129620,130178,134928,133741,138769,138350,134718,136953,135417,132623,135207,134159
9,68,149105,147499,147149,147079,163212,141772,142749,143797,145543,148965,146171,146102,146521,141422,141283,141911,144845,144495,137442,137302,137931,137652,144355,146311,142890,142051,146242,142610,141981,142750,142610,181719
10,76,329637,326075,325866,325446,324679,324399,325936,334735,321675,326494,319091,345839,333059,338018,335433,322653,336900,324748,324329,332919,332780,318533,334037,358550,319022,323980,338018,335294,337808,339204,322932,320557
11,98,365254,349401,367280,388162,346398,363857,356036,345141,349680,364975,365883,358341,363369,359388,367419,345560,347585,362601,361972,367000,367000,365185,347864,354709,354499,354500,367420,360505,359667,366023,366791,363439
12,110,538453,551653,558217,545297,527559,545507,539222,546555,546136,555214,546066,534822,541527,545647,545996,521412,543831,551723,545996,544460,537475,536149,544529,539082,552560,537895,551164,527210,550046,540758,525533,526372
13,131,784563,815013,806982,799229,841900,817527,797134,811381,816200,793992,797833,773040,804677,804188,800068,791757,798601,814943,794970,808030,787357,789731,804398,812709,796995,805655,793572,782957,817947,799090,804258,790989
14,162,791687,798252,776532,775695,778907,780164,782259,784704,763961,783516,788963,776043,762774,781072,778627,772901,760120,781560,765917,801116,790709,770037,772761,778208,770038,789801,799648,779396,795598,771853,779325,782678
15,176,1159875,1177893,1165253,1154707,1158268,1135990,1145488,1183340,1158478,1164833,1166928,1164833,1160085,1153938,1170141,1148212,1134175,1164274,1161271,1159596,1160084,1183829,1153031,1154847,1161341,1144999,1164065,1179220,1140739,1152751,1150656,1160922
16,200,717030,689164,692936,724573,716820,684555,700688,717449,710395,707043,788265,702993,810404,742870,710395,711793,719055,721919,690771,694333,697895,700548,685602,710954,704738,720801,698104,705297,715214,719894,693494,692586
17,228,1148422,1163577,1217282,1147723,1173912,1139762,1180826,1141368,1184249,1171538,1139202,1162599,1185156,1144231,1169302,1153450,1155475,1152402,1144370,1193746,1158059,1140949,1131520,1147583,1151145,1144649,1151075,1170071,1163506,1168325,1177404,1169653
18,247,1589380,1624160,1592663,1592383,1582886,1566334,1633099,1566334,1609285,1627024,1622833,1592313,1586586,1621366,1571851,1588193,1564798,1569407,1578415,1601532,1576739,1596783,1624369,1573527,1621227,1572968,1580092,1592663,1614034,1573807,1604536,1619830
19,277,3520549,3462164,3509585,3465446,3472291,3455949,3540244,3511959,3477040,3456158,3515102,3507281,3422985,3433740,3472500,3494988,3458183,3453504,3484373,3472012,3463422,3432763,3470196,3540942,3458672,3503649,3494779,3466913,3463212,3529279,3477948,3500506
20,302,1423374,1436854,1429172,1460179,1462135,1448447,1470376,1416321,1446701,1465557,1457106,1437412,1428612,1427565,1418277,1426937,1428054,1420441,1430987,1435666,1434968,1406404,1448027,1431686,1436993,1438181,1409966,1412340,1448237,1439717,1430638,1437831
21,318,2492111,2464245,2453420,2424437,2430932,2403136,2448391,2443852
22,367,2809735,2792694,2762734,2779634,2784733,2722856,2745693,2807430
23,399,3487725,3393653,3408250,3422077,3461466,3479345,3380593,3384574
24,430,2587580,2620473,2669290,2596100,2589116,2565720,2609019,2556780
