i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,1,9149,3701,3422,2724,2654,2165,2654,2654,2584,2584,2584,2585,2584,2584,2514,2584,2515,2654,2514,2515,2095,2584,2584,2584,2654,2025,2585,2584,2584,2584,2584,2584
2,2,9639,7892,7543,7333,7263,7124,7263,7334,6355,6425,7194,7263,7264,7193,7124,6635,7123,6495,7263,6496,6495,7124,6704,6565,6495,7404,7193,6496,6565,7263,6496,6425
3,1,15994,14877,14108,13339,13130,13060,13061,13479,13270,13200,13270,13480,13130,13340,13131,13060,13270,13270,13130,13340,13340,13200,13201,12990,12921,12781,13200,13200,13270,36248,13480,13130
4,5,61460,53150,49727,49937,49029,48820,48750,48820,48959,48749,48261,48749,48959,48470,48609,48191,48610,48959,48749,48191,48679,48470,48261,48261,48471,48610,49029,48749,47632,49099,48889,48609
5,8,129277,123899,123201,122712,120966,120407,120478,119709,119709,121245,120547,121664,120617,120897,121525,121036,120546,120617,130744,120198,120059,120757,120478,120268,120687,120197,120197,120337,119220,120477,120198,120408
6,11,138077,135423,135074,133468,133188,131721,132211,133608,133118,131233,132280,133398,134097,132629,133328,132350,152325,132559,131792,130884,131721,132839,132560,131861,132140,131651,133189,131302,133887,132141,132630,132070
7,14,154141,150090,148694,147436,148832,146668,146528,147156,149461,149531,149252,149531,171741,141220,138915,139404,138985,140382,139684,140312,139334,139614,139125,139124,139893,138706,140941,141290,140662,139613,140452,139055
8,17,996223,988820,964864,965213,961373,1021856,961582,964865,965143,976319,939442,942864,944331,971220,936648,916534,915905,947753,919537,916255,913460,917511,903125,871137,872115,871835,878959,870787,869950,870508,867575,875327
9,20,669434,658887,656373,657001,669713,655535,626970,638843,624525,624596,627179,634652,626970,627389,628297,624386,626691,634582,627598,628227,627948,630182,628856,647643,600429,600988,597217,598684,600640,598544,606436,598474
10,29,833561,821968,819803,827695,817847,821339,815054,818476,826159,786279,783555,781948,785162,789910,785371,783067,783974,782857,792355,782018,781669,784952,788444,797174,762952,765256,759111,762114,763720,751916,760158,753732
11,27,502721,495457,490359,501114,487426,485260,487775,484004,486099,484353,486658,498531,467591,465984,466124,465286,466683,464099,468149,475413,466263,469128,471362,466823,469267,469197,466333,470664,472829,469616,465845,469407
12,40,837961,825530,829022,794241,792774,788234,790190,799060,788025,788723,787257,792356,795358,789702,791586,787746,790609,800875,756736,762742,757993,760368,769657,761695,759949,760298,759599,762323,771263,759809,756806,754012
13,41,952223,937486,914997,912902,916464,923798,915486,914578,915626,916325,914369,914299,912553,911994,908502,881264,884477,878889,889435,888597,884755,882591,881333,893416,882731,879378,884616,888737,856120,857937,855143,856819
14,51,475552,463191,467102,464448,462353,461793,466543,464378,469616,466962,465286,464517,465216,463889,464029,464379,464448,473457,449083,452924,453552,451946,448524,450759,450898,451317,457394,452366,450340,449851,449502,449082
15,44,540576,533382,539877,532194,528283,531775,528144,531146,531496,547978,513407,515363,511800,513128,512290,516899,512849,520880,511521,515083,513127,511731,514385,515502,515362,518156,515502,517668,513895,512639,512638,512988
16,69,1939785,1901792,1885938,1897042,1889011,1898998,1879024,1837817,1843474,1834185,1848084,1829087,1834604,1812604,1789417,1786762,1784667,1794515,1782991,1787182,1734660,1739759,1737384,1744928,1770559,1742972,1751842,1741575,1739759,1737385,1745346,1744857
