i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,1,4190,1327,1746,1187,1815,1257,1187,1187,1118,1187,1188,1117,1257,1606,1117,1676,1676,1607,1676,1606,1606,1676,1677,1607,1606,1676,1676,1677,1676,1676,1606,2515
2,4,37225,4120,4260,4191,3422,3911,3631,3771,3632,11803,3561,3003,3562,3562,3562,3632,3562,3423,3422,3422,3422,3562,3422,3562,3701,3632,3702,3632,3702,3632,3562,3632
3,7,9638,7263,18159,6845,6844,6845,7054,7822,18927,6705,6845,6705,13409,7194,7333,7403,7334,7962,8521,7752,8101,7962,7613,7543,8591,7892,7473,7403,7682,7473,7752,8590
4,16,22837,29613,18368,17739,18089,18158,30241,70959,19695,29473,18368,18019,18368,18648,18857,18089,18718,17670,18228,28984,28565,18787,18229,18299,18019,18298,18787,18508,18857,18229,18298,18507
5,20,52240,90094,47910,78222,47422,47492,46863,47282,47701,47212,52241,46932,46723,47142,56711,49797,50145,71028,59783,46654,58666,50286,49867,49797,53778,49727,49656,50006,49447,49587,69561,59225
6,32,58526,68724,59155,62927,59714,58946,58806,58946,58666,58666,78990,67745,68583,59016,59225,62437,58806,58596,58875,58527,58806,58456,85834,68514,58946,58806,62438,58387,58596,58527,59224,58666
7,44,111814,133186,78710,76964,86812,80526,80736,87021,81085,80666,80736,81434,100221,99942,80596,80945,84996,80876,80805,81155,80945,96729,99523,80457,81015,84787,80596,81015,80876,80526,81015,96659
8,57,130951,124665,120615,120754,136678,127529,114399,113771,113841,138913,113910,114399,114190,113770,116983,114468,128786,166081,154767,156862,148481,147504,163078,143452,114050,114119,114050,114190,115586,116564,116773,117751
9,77,175510,171947,171528,173344,181586,199674,185077,192969,169992,187313,178932,179491,178093,186544,202189,169364,169573,168595,171109,171948,169573,168944,169642,170342,171808,172437,183401,238855,185985,179980,178652,180957
10,89,310301,298289,296752,295007,293331,293191,293680,292842,294309,329299,304505,293750,293121,292981,291864,292423,293331,294308,294168,292772,293121,291655,312048,305274,284252,283553,282715,283693,283483,283274,283762,296194
11,109,460878,446282,472751,445373,445025,445443,445304,445863,446630,446491,462345,478757,445234,451589,450402,457107,446212,444954,446352,444675,453964,432593,432104,437272,433431,433920,436993,432453,432942,440415,431895,432593
12,127,830615,843535,826145,834037,824539,827193,830964,824190,833199,834805,803167,801491,809593,802608,802259,801282,802399,811758,801212,803656,803516,801002,830894,779422,779701,781726,781796,804494,779491,847795,779911,798208
13,151,786475,775789,777047,778373,753790,761263,770133,754069,760425,783333,836690,815878,794368,804215,789618,793878,802748,802330,802748,800164,798418,799606,789758,795065,786126,796043,784101,784799,784380,784031,803656,817065
14,172,1812993,1814948,1849310,1871239,1878154,1838136,1829405,1795253,1755095,1753140,1804891,1709838,1714239,1803634,1768434,1753768,1732606,1711723,1741336,1715285,1710536,1731209,1721292,1808872,1759914,1754536,1730371,1705578,1744270,1723946,1711723,1704740
15,197,1011781,1066326,1162288,1070098,1054803,1061159,1037552,1025330,1061298,1050683,1073590,1116193,1132256,1111234,1098454,1122688,1078619,1059552,1086091,1084206,1086511,1089234,1112981,1108720,1120034,1113609,1089514,1107532,1083438,1115774,1143361,1183310
16,234,1561846,1559541,1517637,1518195,1528741,1608080,1794415,1685464,1548436,1736028,1590550,1586150,1535865,1520640,1553675,1526996,1549694,1480062,1601376,1587897,1520989,1528812,1500945,1499199,1505275,1511421,1550252,1522386,1503669,1505624,1487117,1530418
17,259,2496523,2545133,2561754,2485488,2394346,2316963,2350277,2305579,2309140,2320455,2305998,2327508,2282950,2314449,2306766,2290004,2342873,2353210,2287700,2281344,2312702,2302785,2388340,2360195,2318778,2294824,2287559,2369413,2317382,2300061,2290982,2332467
18,291,1930046,1871799,1876478,1858389,1826682,1836390,1952674,2170157,2140336,2080343,1977188,1911607,1942128,1922782,1989899,1940313,1948483,1850777,1855177,1834295,1860834,1835272,1863557,1836320,1855736,1825006,1832967,1823120,1833177,1825215,1837507,1826193
19,328,2757378,2820164,2805498,2751022,2774279,2777142,2772952,2858926,2823586,2755143,2872545,2834482,2785733,2770647,2749206,2768692,2777702,2749346,2757029,2778190,2755003,2757099,2760870,2925903,2917802,2809759,2759543,2771765,2770857,2760171,2749555,2756609
20,363,5100461,5118340,5497575,5448477,5294129,5246847,5200263,5296713,5189089,5295037,5221984,5100042,5309564,5261304,5135800,5153679,5194397,5131191,5181476,5166181,5127349,5170372,5259558,5155495,5153959,5460908,5427524,5273596,5217514,5122740,5161502,5196353
21,406,3098410,3034366,3034924,2991762,3042747,2998747,3039325,2984500,3042746,3190389,3151349,3074035,3009363,3112447,3087165,3076969,3026265,3055806,3087514,3099388,3046379,3124041,3059020,3151838,3064327,3056994,3046728,3092613,3048893,3038487,2999376,3052175
22,434,2953700,2967877,2971230,3027381,2982474,2781962,2846704,2838323,2786641,2786082,2857529,2870729,2768762,2849987,2799980,2821492,2774070,2828685,2806056,2991693,3075711,2994277,2944899,2779098,2823447,2899783,2846495,2865351,2854037,2848938,2784127,2793485
23,478,2464047,2496523,2455527,2453571,2457272,2471101,2440092,2761918,2666655,2660719,2668331,2598490,2507069,2612668,2530955,2512586,2492053,2485139,2456784,2451616,2438695,2467539,2477178,2469425,2469774,2449381,2439114,2466142,2456295,2798374,2769041,2720292
24,526,5185107,4916012,4861745,4924532,5087541,4954774,4930190,4916710,4850153,4818096,4912170,5490102,5992536,5869895,5391696,5322274,4995910,5343507,5167997,4897993,5312776,5142715,4916221,4846730,4840234,4745252,4722833,4743436,4731492,4684560,4755029,4692243
25,566,5340014,5579986,5643053,5346998,5302160,5291544,5273247,5434927,5770581,5707585,5835952,5809762,5420890,5293920,5338478,5307539,5886168,5793140,6041494,5949024,5560571,5383106,5372909,5545415,5477042,5467263,5382198,5358243,5300973,5358452,5215069,5243495
26,613,9380504,9443221,9334758,9429043,9446503,9476465,9484915,9723980,9549379,9509430,9710571,9679771,9661054,9610629,9408999,9516483,9440008,9592331,9299069,9406206,9647644,9435678,9365628,9340345,9496859,9340834,9380225,9431278,9502865,9386300,9333501,9422479
27,663,7185483,7381316,7175636,7267196,7241426,7235559,7185483,7212162,7282282,7219775,7178569,7188766,7191699,7375240,7657815,7361900,7233673,7325514,7283120,7222778,7220474,7253298,7289825,7362808,7202035,7285564,7147559,7373075,7373634,7390116,7240377,7334872
28,713,13763492,13632960,13060476,13099028,13008934,13059778,12998458,13802883,13683454,13420923,13787168,13406746,13175364,14887857,14343868,14957628,14073584,13390823,13062501,13225650,13231935,13149035,13487971,13581417,13687994,13062711,13337185,13080451,13543494,13376715,13124730,13252119
29,765,10103214,10146376,10211886,10550264,10942420,11227998,10845690,11233585,10581274,10830116,10617870,10717533,10363511,10565280,10334667,10336483,10479655,10602157,10481052,10369238,10379714,10522608,10286197,10243245,10303099,10248135,10245760,10257283,10337530,10343676,10304775,10246388
30,808,12329734,12389168,12329036,13117537,13146450,12767845,12452583,12717209,12767565,12572570,12191799,12020201,11949172,12091787,11859287,11970264,11850837,11945820,12072860,12645832,12068600,12047508,11875350,12156948,12038219,12341886,11873395,12049254,12474234,12156739,12017686,12254096
