i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,1,4470,2514,1746,1747,1676,1676,1676,1676,1606,1606,1606,1606,1606,1606,1606,1606,1606,1606,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1606,1606,1676,1606
2,3,5867,3562,3283,3353,3283,3213,3213,3353,3213,3283,3213,3282,3213,3212,3212,3212,3213,3213,3213,3213,3213,3212,3073,3213,3143,3212,3142,3143,3213,3143,3143,3282
3,7,9429,7473,6635,6495,6496,7334,6565,6705,6705,6705,6495,6356,6705,6635,6565,6495,6496,6425,6426,6425,6705,6635,6566,6495,6705,6565,6356,6565,6635,6496,6565,6565
4,9,21721,20185,19556,18997,18997,18229,18996,45676,38413,33315,33175,33454,33524,34152,33245,33803,33524,33035,32965,32755,33175,33664,32686,33175,32616,32547,33105,33385,33245,33245,33245,33873
5,21,52451,48819,47772,48051,47283,47283,47283,47143,47213,47492,47004,47772,47352,47632,47911,47283,46794,47213,47632,46654,47143,47004,46934,48121,47283,47283,48680,47493,47353,47563,46794,47283
6,23,104064,101410,100992,99943,101759,100153,100084,99734,99873,101200,100433,99943,99595,110350,101201,100013,101201,102039,100153,100503,101410,100922,99943,100293,99804,99594,99525,100781,99804,100223,99804,100851
7,41,145480,137868,137239,137309,137798,138776,137728,136820,136890,136890,139963,137309,136751,148065,138287,136401,137309,137728,140173,136471,136890,139334,137728,140103,137588,137099,137588,140312,139893,139962,139334,139684
8,53,315266,308841,301926,298853,338524,284675,282859,284676,284326,286421,285374,286980,283907,286142,285723,285164,286701,297316,286351,283628,283488,287049,287050,285792,284326,284885,283069,285234,285374,284815,285584,318618
9,63,341876,339780,335730,340339,336009,335450,335310,335031,335171,335171,344669,326231,313870,315824,312542,317431,317710,314916,315056,317012,318828,319736,313869,349349,314777,314707,318618,314219,317012,316523,314917,315406
10,69,503070,494061,493852,492524,486029,482188,487985,486378,483235,484143,505236,465845,471502,469198,469826,467940,466474,468150,478416,466054,466544,465146,467032,467521,467242,466963,473737,463820,469686,477788,471502,465565
11,92,610277,606576,611605,579826,579128,581503,577033,572005,569909,578081,569840,571306,570259,570887,569071,570049,578499,568513,571725,569909,569280,569560,570189,561039,548538,546722,547559,547770,554474,546232,552309,548398
12,102,911924,905569,909690,911575,905360,901937,897049,904731,873861,866737,868483,864991,872115,865899,868762,872115,875886,873652,876515,873931,864502,858705,839010,831885,833003,842013,840896,833631,848578,847460,844667,842432
13,133,1368551,1370995,1309255,1310372,1316588,1316728,1304506,1309813,1312957,1305343,1319941,1276638,1268607,1265324,1273426,1262950,1265254,1271191,1261902,1259806,1256314,1222162,1228518,1227051,1219578,1221953,1228797,1227610,1229775,1236410,1208193,1187381
14,158,578011,565509,567953,561737,562226,558665,560131,563973,562156,565649,560201,559153,559712,564741,564113,557617,574798,541064,546862,547979,546582,544068,543160,550772,543509,549236,545465,542112,545534,548817,547071,547560
15,163,1464583,1450754,1437135,1406264,1404239,1415065,1402773,1406265,1408989,1404240,1406824,1364779,1362963,1365547,1357445,1361077,1371693,1389922,1355211,1362823,1326226,1311699,1317496,1310512,1314144,1325598,1317985,1326785,1316588,1285160,1283623,1283064
16,182,1467027,1468285,1476595,1462837,1483230,1424145,1429662,1447122,1433433,1424424,1437693,1433573,1433782,1442792,1417859,1435878,1419675,1435808,1470170,1436227,1429522,1427008,1423446,1427985,1435948,1431198,1430430,1436437,1431967,1442792,1433434,1428126
17,226,2367917,2344380,2334811,2357371,2345428,2341517,2332647,2335789,2335161,2342075,2350177,2342913,2447956,2529112,2498451,2348919,2341027,2349199,2345428,2345497,2356183,2453892,2604122,2534071,2489302,2474984,2417365,2419600,2413174,2384470,2404025,2405981
18,240,3292902,3293879,3273905,3299956,3294578,3279562,3257353,3296463,3294717,3275651,3289968,3264197,3255327,3273346,3281867,3271041,3276489,3273974,3263847,3270343,3282914,3266920,3281099,3232768,3193447,3181643,3197358,3178989,3170260,3179967,3174310,3175009
19,274,5342898,5312797,5305254,5318594,5318454,5313355,5290168,5321946,5297920,5318664,5323412,5304905,5330816,5339337,5294568,5299596,5311400,5295616,5299596,5330955,5317476,5304834,5312587,5336823,5291076,5314264,5337521,5328930,5307698,5319083,5328930,5294848
20,302,4693649,4647344,4649788,4640919,4653839,4631769,4621013,4649300,4648671,4657471,4639033,4644550,4617312,4650137,4629185,4633795,4634353,4632677,4618220,4628417,4626252,4635540,4623319,4620665,4632537,4631909,4610119,4633166,4632747,4621851,4625065,4617312
