i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,1,3073,1117,1118,1048,1048,978,978,1048,1048,1048,977,1047,1047,978,978,978,978,1048,977,977,978,978,978,977,977,908,978,978,978,977,978,978
2,2,3352,2096,1955,2025,1956,2025,1955,2025,2026,2025,1955,1955,1956,1956,1956,2025,1955,1885,1955,1956,1956,1956,1956,1955,1955,2026,1956,1955,2025,2025,1886,2026
3,4,4540,4190,3981,3981,3981,3911,4050,3911,3841,3911,3911,3841,3981,3911,3911,3981,3841,3911,3981,3911,3981,3911,3841,3842,3841,3841,3841,3911,3841,3911,3841,3841
4,9,17041,14805,14317,14177,14247,13898,13758,13688,13688,13828,13688,13758,13688,13688,13618,13688,13688,13619,13759,13689,13689,14386,22139,13688,13689,13758,13618,13828,13688,13968,13758,13618
5,12,51680,48677,48048,47560,46931,48607,46931,46722,46443,46512,47839,49794,48189,46652,46791,47490,50842,47909,46582,46652,46652,46722,46582,47350,47141,46862,46582,46652,46722,46721,46862,46443
6,16,66207,64181,63553,66625,66765,63762,62296,63483,64670,64950,64741,64461,63204,61528,62575,61248,61318,62087,64461,64461,64810,65089,64810,64391,64321,64112,63204,62715,62924,62506,61667,61667
7,31,106224,144635,100567,99310,99310,99030,98821,99171,98752,99170,99031,98682,98752,99101,98821,98751,98892,99520,98961,99380,99450,99659,99101,98961,99030,98961,99380,99171,99310,99449,99170,99100
8,32,188005,184373,182976,182697,224810,189611,184582,181300,180602,180881,180532,185700,180043,180113,184722,179694,180322,179764,179903,179903,179764,180322,180182,179764,179834,193452,220061,182837,182837,181929,181300,187096
9,49,272160,251837,246669,251348,251418,252814,261404,251348,256237,245691,249393,291017,245761,256516,262173,250999,251278,251139,250999,258262,245621,246878,245482,251698,260916,246669,289340,253094,261125,258262,258122,261126
10,57,573932,574839,572464,555773,593486,576724,563665,563526,567367,558288,578052,588249,564573,579239,555633,570370,555913,555982,577493,559196,563595,574280,553538,564293,583359,560662,566738,569043,563875,570160,565830,580147
11,55,1091014,1069434,1061402,1070411,1051834,1070202,1091433,1068246,1071389,1063637,1064476,1065872,1067967,1073136,1062450,1065104,1068176,1057282,1071878,1070900,1068386,1070691,1079421,1061961,1061682,1068177,1072437,1070202,1057562,1068107,1074812,1066222
12,58,1427355,1415972,1415134,1417368,1426098,1409686,1426098,1399141,1417019,1436783,1393065,1399350,1408708,1405426,1411013,1393903,1398861,1384754,1413039,1422816,1426098,1396277,1418346,1437761,1408359,1390341,1403400,1382589,1402004,1407242,1394392,1422746
13,88,1113013,1085915,1129215,1080050,1111686,1110289,1094436,1122301,1132637,1083122,1108474,1096671,1109171,1120486,1111965,1101489,1104423,1093528,1095414,1103585,1104074,1091992,1090246,1090874,1112035,1089198,1102258,1105191,1089198,1092899,1097440,1082144
14,95,1259604,1267845,1248359,1274968,1261769,1250804,1246334,1264632,1274968,1267774,1245705,1269451,1268892,1251851,1244798,1247033,1247871,1265680,1255414,1271336,1239211,1268403,1261349,1250665,1264073,1262048,1244729,1253877,1268473,1262118,1248848,1257299
15,112,1869781,1833535,1907493,1848341,1889405,1844360,1861540,1836678,1869641,1864263,1871597,1860074,1867127,1863286,1839052,1869851,1834163,1893526,1844849,1876625,1879907,1880327,1857420,1843871,1852600,1846595,1868873,1833116,1874111,1856162,1878790,1844290
16,130,3662250,3638785,3641998,3611548,3601143,3626424,3658340,3613504,3629008,3588571,3649959,3603307,3627820,3624957,3691862,3800670,3628170,3617275,3639344,3586826,3616437,3634246,3594159,3604355,3597859,3630894,3627821,3646607,3605472,3604075,3646397,3589898
17,147,3238262,3258515,3210606,3211654,3189097,3180716,3205509,3242383,3187490,3178131,3202086,3176525,3193566,3201179,3197966,3173802,3222898,3201318,3194194,3189655,3210676,3190074,3194543,3255722,3185675,3185256,3220175,3229533,3223177,3210607,3224225,3203064
18,160,5552005,5480700,5491874,5443127,5485030,5472949,5518413,5443267,5424691,5460168,5497532,5517645,5507169,5527283,5489081,5453882,5473857,5472739,5500814,5464219,5485380,5522255,5472041,5433839,5488103,5475463,5465057,5508706,5500744,5497253,5472669,5488662
19,186,5412888,5385511,5371543,5390400,5404158,5385581,5404228,5389631,5353875,5380972,5391586,5351360,5383346,5389701,5379505,5352338,5377549,5339487,5366375,5403459,5401155,5380552,5410583,5407091,5369587,5383625,5410024,5453114,5411561,5353595,5375664,5413586
20,204,2906601,2865745,2856107,2859529,2861275,2842419,2886767,2844723,2873637,2855619,2840883,2880341,2840534,2828033,2854292,2837740,2827264,2838578,2815322,2832781,2869586,2866164,2830547,2873288,2865885,2840533,2826077,2867142,2809036,2844933,3069952,2829150
21,222,9539982,9497730,9514980,9473845,9512257,9481527,9472588,9503178
22,229,17464464,17332959,17423120,17320528,17390576,17335682,17384360,17430593
23,272,7571380,7578364,7540791,7536111,7537927,7509923,7505313,7517535
24,275,40973644,41011705,40993477,41011985,40882365,41103054,40948153,41281840
