i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,0,7892,2444,1956,1885,1886,1886,1886,1886,1885,1886,1816,1886,1885,1816,1886,1816,1816,1746,1815,1816,1746,1816,1816,1816,1816,1746,1746,1607,1746,1747,1746,1816
2,2,10825,8381,7752,6985,6565,6844,7403,6705,6705,6914,6426,6635,6635,6635,6565,6146,6565,7333,6914,6635,6775,6565,6635,6565,7124,6565,6565,6705,6705,6425,6425,6495
3,0,10267,8730,8311,8381,8171,8101,8171,8102,8172,8242,8172,8241,8031,8241,8171,8171,8102,8032,8171,8172,8032,8102,8032,8241,8241,8101,8032,8241,7822,8312,8172,8172
4,5,71378,66279,63277,63207,62928,62508,61810,61391,61041,62718,63067,62299,62578,62229,62508,62159,60972,62159,61460,61600,61531,62369,61810,61391,61810,61740,61879,62228,61949,62368,61879,61949
5,8,70260,66279,65302,65022,65023,64394,64883,64184,64185,64813,63975,63975,63067,63416,63416,63556,63905,63067,62997,63277,63276,63695,63696,64254,63765,63416,63486,63137,62927,63276,63346,63626
6,6,145060,142337,143036,142477,141918,140242,142407,141498,153162,141359,141849,141010,140800,142895,140102,141638,140661,141010,140591,141499,141010,140731,141639,141429,141010,141360,140591,141778,140451,140032,140591,140591
7,13,375538,390134,369322,369741,370230,369042,370090,370998,371836,371417,369671,370229,386573,352350,351372,351792,351722,349836,351373,352351,350464,350395,350395,371068,352001,350954,351303,351373,353328,352420,352559,351652
8,17,582758,582827,580732,576821,576263,576751,581290,584084,586319,548605,556078,552796,552377,550211,549373,557335,550212,550002,550211,549862,551120,557335,560758,550351,549513,549094,547697,549373,549722,548186,560758,524859
9,25,425265,420376,415557,414858,416744,416744,422541,414998,412833,413741,415068,413252,412693,414580,414509,413182,420865,413881,417094,413881,416395,414160,413113,414020,412344,411785,419817,396909,398795,396071,395931,396351
10,23,803386,796263,787323,786276,788231,783482,794726,787113,788860,788580,788720,790396,778383,758688,757361,755895,756384,761412,758548,758968,757920,763367,767069,762809,758129,756384,758409,770491,735012,733545,732428,728098
11,22,2574917,2552987,2549914,2520720,2450389,2456395,2461005,2453113,2415468,2372167,2366719,2367558,2363995,2337036,2292966,2299462,2293805,2286611,2274179,2210693,2223963,2212579,2216909,2223544,2158032,2149093,2143646,2146927,2142388,2134427,2076388,2080927
12,38,634859,621310,620122,624383,632275,628783,620611,623755,621869,623685,646592,605735,603082,603500,602593,601475,602453,609158,604129,604059,601684,602592,604478,603500,609856,601475,601266,601335,602522,602383,619145,587157
13,34,918416,916599,913527,920092,913597,916390,914085,919673,913946,913597,920581,920790,913038,889921,887336,889152,897883,890061,890270,885590,886777,893972,889781,887965,889641,896485,863870,864428,862473,863660,869247,861285
14,60,857583,847806,854232,848504,846339,848435,845013,853743,824199,825876,820079,822314,834327,823641,825806,823641,820079,829996,823152,822313,824409,830974,822453,823501,822733,823990,830695,823292,823851,875044,874905,932454
15,46,1826704,1809454,1697987,1695263,1700850,1697777,1703085,1698964,1706088,1697638,1697637,1840045,1846190,1829009,1814971,1828450,1788781,1763987,1689954,1692400,1693168,1685066,1694913,1690374,1694704,1687300,1685695,1693237,1687510,1696031,1691841,1767409
16,68,1440201,1381325,1414011,1378461,1377554,1411007,1402417,1379998,1429935,1429096,1398856,1455916,1398646,1427910,1408424,1379369,1441808,1378532,1381675,1424278,1377135,1375947,1452633,1385167,1387680,1425325,1380976,1376925,1431193,1381116,1385586,1412056
17,67,2410370,2432649,2454859,2392002,2448434,2387323,2427690,2431392,2387322,2428808,2448224,2393677,2424129,2383551,2392490,2409671,2391303,2403455,2392770,2396471,2389627,2393259,2410789,2395494,2401081,2400243,2397170,2396192,2388230,2398217,2398427,2389906
18,91,1086874,1073534,1066270,1063896,1073394,1083312,1063896,1070321,1072835,1066969,1063826,1066620,1070880,1067458,1063407,1069064,1082683,1064733,1066899,1072277,1065991,1066340,1065293,1073883,1065571,1066340,1066130,1074721,1066410,1067946,1076118,1077026
19,85,3976915,3959664,3959036,3958546,3965950,4112547,3985715,4002966,3979499,3991023,3980616,3951912,3954426,3971188,3953587,3966090,3964552,3967067,3958477,3991931,4031461,4043753,4145513,4036560,3964483,3990324,3962318,3964343,3946045,3978800,3984877,3963505
20,98,8037779,8028351,8014871,8016757,8008865,8017874,8029468,8150224,8083315,8066972,8019899,8025348,8010820,8039455,8032052,8032332,8025487,8030935,8029468,8034986,8038477,8029049,8047557,8006630,8025487,8038408,8026744,8034637,8003347,8026675,8009423,8016827
21,119,3298824,3298824,3298824,3298824,3290373,3290373,3290373,3290373,3076519,3076519,3076519,3076519,3079033,3079033,3079033,3079033,3080988,3080988,3080988,3080988,3085388,3085388,3085388,3085388,3083154,3083154,3083154,3083154,3290443,3290443,3290443,3290443
22,114,5352303,5352303,5352303,5352303,5111071,5111071,5111071,5111071,4931578,4931578,4931578,4931578,4946455,4946455,4946455,4946455,4940309,4940309,4940309,4940309,4953928,4953928,4953928,4953928,4935070,4935070,4935070,4935070,4921312,4921312,4921312,4921312
23,121,10566530,10566530,10566530,10566530,10002840,10002840,10002840,10002840,9878383,9878383,9878383,9878383,9791150,9791150,9791150,9791150,9715092,9715092,9715092,9715092,9715372,9715372,9715372,9715372,9696515,9696515,9696515,9696515,9691067,9691067,9691067,9691067
24,147,3128340,3128340,3128340,3128340,3112975,3112975,3112975,3112975,3127712,3127712,3127712,3127712,3104384,3104384,3104384,3104384,3262995,3262995,3262995,3262995,3458691,3458691,3458691,3458691,3197344,3197344,3197344,3197344,3133788,3133788,3133788,3133788
