i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,0,5029,2026,1607,1188,1606,978,1048,1606,1187,1607,1048,1187,1047,977,1188,978,908,978,1048,978,908,908,907,978,978,978,978,978,978,977,978,978
2,3,6495,4749,4540,4400,4400,4400,3911,3911,4190,4191,4470,4400,4400,4400,4400,4469,4330,4539,4190,4260,4400,4470,3911,4330,4400,4400,4400,4470,4400,4330,4331,4400
3,5,6634,5937,6425,5796,5866,6425,5517,5797,5867,5797,5797,5797,5866,5238,5797,5797,5867,5797,5797,5797,5727,5796,5168,5797,5797,5797,5797,5797,5797,5797,5797,5307
4,7,19485,16622,16482,15994,16273,16203,16273,16273,16203,16273,16273,16203,16273,16273,16273,16203,16273,16203,16203,16203,16133,16134,16133,16133,16133,16273,16133,16273,16134,16133,16203,16203
5,8,37714,35269,35060,34781,35339,34362,50215,43022,36247,35759,35688,35968,35758,36736,36945,36177,71586,34711,35479,34991,35200,35200,34920,36736,37085,37505,37854,38832,36457,36876,37435,38482
6,16,46654,42323,48889,41066,40926,40019,39390,39530,40298,42114,40298,39809,39599,40437,40648,39460,48470,40158,40926,48469,43161,50704,41695,41136,43092,43301,42672,44838,44139,42952,41136,41835
7,29,57060,60831,53289,79968,51962,51542,51263,51962,52101,52032,52171,52101,51891,52031,52032,52031,51962,52241,51961,52171,51892,51543,57479,51822,52171,51682,52310,52171,51892,52101,52241,52310
8,29,240461,228379,277546,227471,227821,227820,228798,246467,238226,233547,231172,229147,227680,227960,227471,227261,252753,228099,228100,227331,231033,220836,221046,220347,220905,220906,220836,220906,220976,220836,221186,221045
9,45,493843,463602,450891,449564,450053,449774,449634,449774,450542,482319,449703,536934,490770,487907,475754,503271,504668,522128,485881,472960,473380,464859,464580,465208,465209,465208,478618,462554,462135,462065,461717,461925
10,43,455571,440276,448516,437691,437133,437970,436084,437830,436365,437202,436364,446491,436992,437342,436295,494332,476173,486440,467723,481341,504180,480084,449983,448656,450961,450053,453545,474916,486649,456688,453894,451729
11,69,393762,366524,367432,369457,355139,354720,399418,356117,353952,353184,353254,353114,353882,353603,353742,352904,381958,361704,353463,352696,353114,352695,394530,413387,384124,386568,377907,384333,423444,395508,372250,364359
12,63,1048307,1075615,1088466,1045444,1051800,1013457,1027565,1015762,1014504,1020232,1015552,1011083,1048797,1137703,1107254,1079247,1092587,1085044,1060879,1045375,1030218,1033153,1016600,1014225,1014505,1024562,1014923,1011572,1160332,1137424,1134352,1094682
13,81,2111491,1972089,1984591,1956864,1995416,1901271,2092844,2007150,2062533,1924668,1923550,1925296,2093053,1992552,2068470,2024400,2026984,2024400,2080412,1970413,2006730,1962102,1970064,2045771,2007009,2008896,1997861,1933048,1959099,1916427,2009245,2036343
14,98,1664721,1516030,1561636,1500456,1462113,1466653,1426844,1469865,1431663,1486347,1543827,1570715,1467142,1543477,1488373,1496335,1467841,1427053,1488233,1477199,1443257,1588385,1574347,1523363,1508627,1482018,1514284,1450100,1426704,1460088,1449751,1452685
15,113,1585870,1642442,1658016,1586220,1570017,1538449,1497452,1510652,1498500,1497173,1607591,1625261,1606962,1543827,1585522,1577630,1498291,1528043,1497103,1496893,1516659,1677082,1639648,1571624,1580842,1587757,1516798,1502341,1572392,1497872,1507091,1552068
16,127,3819304,3737660,3530653,3468844,3728371,3695337,3571440,3492030,3490564,3826567,3619769,3557541,3473174,3561103,3771324,3657763,3501599,3467027,3735705,3600074,3579681,3472196,3463187,3821958,3603007,3481415,3456621,3650918,3683324,3630525,3513611,3470171
17,149,2013785,2099968,1929486,2000724,1935214,1887722,1870891,1884649,1952744,2056037,1960146,2022375,1971461,1956864,1888770,1883043,1937658,2081250,2076152,1994229,2048146,2027334,1963429,1959518,1989340,2124132,2114425,2015460,2058971,2081809,1995556,2026914
18,162,3836275,3886141,3837882,3737032,3912332,3824053,3770625,3685350,3757634,3800796,3830059,3672429,3736612,3644284,3756866,3610341,3518081,3438463,3561941,3588690,3651337,3481834,3486863,3737869,3786269,3602938,3436297,3592531,3703509,3594348,3486863,3422539
19,168,4722902,4661792,4643353,4400727,4720596,4709073,4390950,4521691,4621493,4470637,4334518,4687632,4570509,4447590,4368111,4682394,4555843,4358124,4444727,4651525,4409387,4363293,4771650,4632249,4396327,4364759,4732051,4552631,4375724,4422377,4636439,4731004
20,196,5154587,5343645,5179589,5067007,5298668,5199424,4994093,5217932,5241957,5009527,5120853,5443238,5079578,5053108,5356775,5210878,5036347,5294826,5283652,5301670,5399588,5266610,5093895,5325346,5310959,5074200,5166529,5364458,5084676,5134472,5364876,5140270
21,216,8133079,8229249,8173307,8114361,7996262,8206831,8096553,8183154,7984597,8278068,7826199,8522092,8228621,8313618,8155707,8374518,7917691,8308170,7966369,8423686,7901976,8422778,7885983,8379267,7886821,8403641,7878580,8359223,7936548,8231973,8281002,8610161
22,233,16259872,16011799,15728735,15601695,15702265,16016827,15808074,15827908,15748570,15779229,15669370,15716862,15635637,15707014,15667694,15702125,15609727,15695979,15634380,16032192,16679964,16451305,15991126,15579346,16124033,15547149,15379183,15859127,15642481,15648697,15933577,15755833
