i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,1,4190,2515,1746,1676,1746,1676,1258,1746,1676,1746,1676,1676,1606,1676,1607,1676,1677,1676,1676,1606,1606,1676,1676,1606,1676,1606,1676,1606,1677,1676,1677,1607
2,3,5797,3562,3492,3283,3353,3353,3352,3003,3283,3283,3283,3282,3282,3282,3282,3282,3352,3282,3212,3282,3352,3283,3353,3283,3213,3283,3283,3213,3352,3352,3352,3282
3,7,9708,7752,6915,6844,6705,6705,6775,6285,6984,6914,6915,6914,6845,6984,6914,7543,6635,6775,6705,6844,6635,6775,6845,6774,6705,6565,6705,6635,6635,6565,6566,6845
4,9,21232,20254,18927,19485,19277,19067,18648,19136,19067,19137,19485,19626,19555,19625,19905,19416,19206,18997,19067,19276,18997,19346,19067,19137,18997,19486,19067,19416,56502,31848,31080,31010
5,21,49727,46654,46515,46026,46026,46166,45886,45816,46025,46585,46026,45746,45956,45118,45327,45188,45118,46235,45956,45816,46165,46305,45328,45118,45467,45397,45746,45886,45257,45816,45607,46724
6,23,100083,96033,94915,94985,96172,95055,94915,95613,96941,96172,95753,95334,95893,95474,95474,95473,95403,95264,94915,94985,95265,94915,103925,95404,94915,96032,95963,94636,95334,96522,95683,94985
7,41,138846,131442,131303,131023,130954,132140,131442,131093,134236,134236,134864,132770,130464,130884,131023,130674,132350,133538,132769,130954,130674,138426,131582,131652,130953,132630,130185,130743,129557,129626,129627,129627
8,53,291241,281533,283488,281812,284535,281882,285164,285653,334473,274967,273710,273082,274409,270498,275037,269659,271196,273989,269729,272593,270777,272034,314149,273920,272522,272313,273989,269938,270916,271824,272733,272733
9,63,332936,322948,322390,319875,366600,320853,321831,321691,319876,320015,319876,319386,321272,319526,315126,315685,330072,304092,305558,300949,300529,304231,302415,300948,303881,300460,302135,300948,307164,310098,303742,301437
10,69,482677,470943,462911,461863,461236,462562,473946,465985,464588,488753,490708,462422,469058,466474,500626,446149,443914,443705,470734,468289,470524,444124,495108,478346,468289,466194,467940,446778,493432,446988,469058,500556
