i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,1,4400,1257,1187,1187,1188,1257,1188,1327,1258,1187,1257,1187,1257,1257,1257,1257,1257,1187,1118,1187,1187,1188,1187,1187,1187,1257,1187,1187,1187,1187,1188,1187
2,3,5448,4539,4400,4190,4191,4190,4191,4260,4191,4120,4120,4191,4190,4120,4191,4121,4120,4121,4190,4120,4191,4051,4120,4050,4051,3911,3841,3841,3771,3910,3841,3841
3,7,9638,7822,7612,7682,7543,7542,7613,7473,7472,7543,7472,7543,7473,7543,7473,7473,7472,7543,7542,7543,7473,7542,7473,30380,17809,7961,41275,7612,7473,7473,7403,7613
4,8,10825,10336,10127,9986,10126,10057,10057,9986,9987,9987,9987,9917,9987,9987,10057,9987,10056,9917,10057,9987,9917,9987,9987,9987,9987,10056,9987,10057,9987,10057,9987,9917
5,17,40087,40157,39109,37293,36944,36734,37224,49725,50562,58734,36665,36804,36665,36735,37433,36596,36875,36735,39808,37504,36735,36735,36735,36805,36665,38131,40017,37643,36665,36735,36526,37783
6,18,65299,58874,60759,57756,56848,56988,56848,56639,56639,56988,56848,57128,56779,56639,56709,56988,56569,56709,57268,95189,69559,94841,56848,59782,58524,56778,57267,56499,56988,56778,56569,56919
7,24,92047,87507,125848,82130,122077,107062,81012,80593,80942,80733,81362,80593,81920,84923,84085,81851,80523,84434,80663,81082,81222,80873,80733,80872,80873,80663,80803,80664,80664,80594,80663,81082
8,34,99520,93374,91907,147708,91837,91418,91768,91837,99799,91907,91558,91768,91628,91488,129411,91558,91278,91419,91348,91628,91768,91488,110624,111112,91419,91627,91418,91698,91767,91698,92396,90650
9,34,128711,120890,126058,123614,119353,119563,123055,126826,121938,121519,122007,121728,121658,121798,121519,121868,121379,121798,158952,119354,119423,119354,123404,121728,121518,121659,121937,121798,121658,121868,121588,121519
10,54,287244,276909,276211,264966,264687,265175,269785,281798,295067,269436,276630,265176,264128,264198,265386,265316,264896,267062,271392,335084,287873,312736,323700,270972,279772,274883,275442,279423,268598,268947,268807,276629
11,65,333478,326075,380479,368048,325865,344512,345280,324678,342138,335014,330335,330335,330335,326285,352125,362949,349541,345140,330475,330335,334107,332500,329916,331173,330126,330824,329846,361972,336201,341160,331034,332011
12,66,237869,223623,223413,222784,234377,217965,218244,219572,230955,247995,279842,284661,285220,218105,218663,218245,226067,218105,220410,218315,227603,223273,222365,222854,222574,223902,245691,244434,231653,223343,261963,218594
13,98,554516,548230,562128,542085,542713,537126,556751,546345,557379,568134,557937,559544,542434,598165,556541,550046,546274,551373,552630,552351,569112,693633,558496,542504,559335,551094,552420,604590,551653,552211,544599,537964
14,95,391024,398358,385158,371680,390955,396681,396681,392840,391165,383622,371818,376847,376009,415817,473992,383901,396193,372797,373006,372168,372098,386694,371749,376148,380479,457021,448152,381526,382783,394656,384251,400453
15,106,545856,578819,589226,530561,548370,552770,534612,530980,557379,541386,559964,534402,530771,530491,535031,591460,561919,539850,543271,542434,564712,570928,548161,551512,550535,696567,544320,531748,541875,576934,557518,549628
16,122,1322318,1272663,1259114,1260581,1268263,1304578,1247731,1268543,1261069,1250454,1431964,1290262,1258067,1332654,1263863,1252689,1253527,1258904,1261698,1261768,1236976,1277761,1332863,1339358,1269170,1256042,1349624,1252340,1240607,1264212,1254156,1274408
17,149,770595,740425,769478,777161,740215,746990,772760,745873,748876,762355,775554,747759,735187,756697,731276,749295,755860,749504,771992,753485,732394,769268,760050,753136,754952,764380,767033,744895,794340,747898,774996,755440
18,167,1039682,1027810,1052323,1033187,1062171,1057561,1046247,1038285,1038285,1048552,1025715,1030533,1033188,1038355,1055815,1038774,1025575,1024667,1045130,1034514,1065732,1031581,1030813,1046247,1046806,1027530,1044710,1101839,1059167,1022153,1048901,1031092
19,198,1007417,1011607,1020477,1067967,1007138,1024178,1027111,1006020,1021804,1022013,1009792,1096042,1017614,989748,1013912,998827,1046805,1015798,1051415,1005741,1012236,1043244,1010839,1023340,1041149,1014610,1029836,1013772,997290,1012585,999037,1021943
20,210,885270,879543,924170,877727,1035143,877867,886666,893581,892533,871861,877238,867461,897283,892463,882127,878845,899028,868579,873397,943794,944912,881359,1003785,921866,880730,888552,882686,896933,904755,916627,882267,874236
21,222,1581278,1553971,1580091,1639523,1745049,1582186,1572828,1570313
22,231,1560256,1555996,1546708,1590217,1591195,1636310,1555997,1715996
23,250,1959312,1995419,1944996,1961967,1976703,1944856,1976772,2085510
24,305,2165336,2201791,2166732,2157165,2202979,2139007,2227631,2156675
