i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,1,6705,3282,2374,2375,2305,2305,2374,2304,2304,2235,2235,2235,2305,2235,2235,2166,2165,2235,2235,2165,2165,2165,2235,1746,2165,2235,2235,2933,2235,2165,2165,2165
2,4,8731,7263,6844,6914,6775,6635,6775,6146,6007,6705,6635,6705,6635,6705,6146,6705,6635,6495,6565,6566,6426,6775,6775,6635,6705,6635,6635,6705,6635,6635,6496,6635
3,9,24166,16413,16483,16203,15994,16483,16692,16483,16483,16133,16762,16553,16204,16064,15575,15993,16064,15645,16552,16692,16552,16413,16412,16343,16343,16133,15924,15854,15994,15854,15994,15993
4,16,36807,34432,34013,33664,33174,34013,34571,34502,34153,33733,33664,34502,33803,33384,34642,36947,17251,44908,34432,34781,34223,33314,33524,34292,33873,33175,34851,34711,34851,33734,34223,33245
5,25,64115,61740,61461,61810,60902,80318,62020,61461,61880,61810,60972,61251,60902,60832,61181,61111,60902,61181,60972,61181,61530,67537,61111,56362,30661,30591,30591,30801,31219,31778,30731,30800
6,36,53569,50496,50216,50006,50356,50426,89817,102318,108395,53149,62020,62299,90585,94217,102528,237113,101969,93449,98966,99385,99035,99455,98408,99245,100013,99804,112516,100153,98756,98966,99525,99106
7,49,162871,156865,157633,157494,157074,157773,157564,156236,156446,156376,156236,155467,156516,156306,156585,156166,155817,156306,156306,157145,164548,156515,156376,156096,156515,156376,155049,154909,158192,158331,156585,156515
8,64,243259,237812,236554,234668,235227,235647,234738,235018,275736,208827,207151,208059,207221,207500,207570,208618,208618,209874,209246,207430,208059,207849,207081,208338,208478,209525,240605,208618,211970,210434,210503,209385
9,81,249335,246332,292986,294802,294383,292219,242351,242700,244586,258205,246821,245983,244796,244586,248358,248148,248776,249335,247729,246123,248846,252548,251989,261767,254014,271196,243399,242211,242002,241443,241792,241163
10,100,344320,336428,335240,336218,334891,335171,346346,325533,321621,323856,322250,321971,321622,324555,321971,322459,320504,323368,331678,319945,320714,321063,321621,322878,322320,320574,323507,322390,323647,325952,333285,322530
11,121,438886,427362,422403,418493,420867,424708,424010,439095,407038,408854,407526,405711,406410,406899,409063,407527,406619,416886,408715,411229,419331,413324,408434,410530,404663,407597,425686,421705,420168,412695,408156,408016
12,144,535757,537083,562366,520880,516131,518296,518157,522627,521649,510683,522766,509496,530518,620335,637586,630951,635421,550144,507610,517319,515642,514316,503350,500277,512919,502791,499998,504816,501464,503769,499718,499788
13,169,664196,649180,648621,648900,649180,649319,651904,625783,625643,624945,625783,621872,618239,615376,620405,622710,623617,621173,627040,611884,613281,621941,618868,622919,618379,612442,600989,599662,602525,599243,599033,607554
14,196,746260,741021,741650,739276,745910,738298,741091,740323,738856,761136,715390,715390,716716,715320,714901,726495,717276,714621,714971,716158,725587,712736,711758,717625,714551,716158,717206,688780,688570,685846,684170,686196
15,225,863455,855074,865829,867365,870997,857099,856680,862267,868623,831815,833073,838381,839988,836566,830280,832514,830908,829930,835867,829092,829232,831956,831397,828045,804788,806254,806044,811422,801225,804577,803251,804508
16,256,1005024,995107,994547,991475,982325,944610,943423,945518,949570,944401,942655,942934,947334,946217,947683,943912,961721,915207,916324,915696,919608,927708,916324,919607,918280,923658,915067,915068,916045,932877,896211,890763
17,289,1071722,1072351,1065855,1046091,1050281,1050700,1044834,1047487,1045322,1039875,1015221,1017804,1022833,1016408,1014522,1017804,1049792,1015989,1019621,1019201,1025278,1012776,1014941,1015151,1052796,1019272,1018434,1012147,1022274,1017037,1015570,1017944
18,324,1240390,1223140,1209660,1213431,1198416,1221324,1220765,1214130,1203933,1219787,1220975,1206099,1201977,1208264,1203095,1207426,1212523,1196740,1195971,1204911,1192968,1200441,1204562,1194574,1209172,1205888,1245908,1217552,1198206,1216015,1195971,1197228
19,361,1434202,1423725,1421351,1436576,1426869,1446494,1429242,1424633,1430011,1426868,1427636,1433503,1425262,1423725,1436786,1432875,1435249,1432107,1428754,1429662,1427986,1428823,1436297,1432595,1429523,1431687,1425611,1435459,1428335,1425960,1433573,1430988
20,400,1681163,1653994,1646311,1660768,1650572,1664330,1660000,1655321,1656229,1661747,1664470,1661955,1653366,1655950,1655041,1655879,1655320,1657975,1657136,1657067,1656857,1651340,1659092,1657695,1662165,1658463,1655531,1681720,1654203,1663353,1656229,1656787
21,441,1970936,1970936,1970936,1970936,1960041,1960041,1960041,1960041,1922675,1922675,1922675,1922675,1931335,1931335,1931335,1931335,1926237,1926237,1926237,1926237,1924142,1924142,1924142,1924142,1926167,1926167,1926167,1926167,1951799,1951799,1951799,1951799
22,484,2268532,2268532,2268532,2268532,2235566,2235566,2235566,2235566,2241713,2241713,2241713,2241713,2227046,2227046,2227046,2227046,2214404,2214404,2214404,2214404,2218106,2218106,2218106,2218106,2217617,2217617,2217617,2217617,2225509,2225509,2225509,2225509
23,529,2672846,2672846,2672846,2672846,2580375,2580375,2580375,2580375,2560191,2560191,2560191,2560191,2563683,2563683,2563683,2563683,2550903,2550903,2550903,2550903,2558515,2558515,2558515,2558515,2546432,2546432,2546432,2546432,2546013,2546013,2546013,2546013
24,576,2939782,2939782,2939782,2939782,2908842,2908842,2908842,2908842,2880626,2880626,2880626,2880626,2898086,2898086,2898086,2898086,2878809,2878809,2878809,2878809,2889216,2889216,2889216,2889216,2880137,2880137,2880137,2880137,2887679,2887679,2887679,2887679
