i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,1,10406,3841,3632,2933,2445,2933,2933,2934,2933,2934,2933,2864,2864,2514,2794,2793,2793,2794,2864,2724,2374,2723,2793,2723,2793,2724,2724,2654,2724,2724,2724,2724
2,4,15156,13060,12572,11943,12432,12222,12222,11943,12152,11943,11803,11873,11804,11664,11664,11734,11803,12012,12082,11733,12082,11733,11734,10895,11803,11664,12153,12013,12013,12013,11873,11733
3,9,40159,34852,33943,33594,33035,32965,33315,34013,33035,32826,32616,32686,32546,32617,32965,32895,67258,33384,32407,33455,33454,32826,32407,32686,33594,32546,32616,33105,32546,32966,32546,32616
4,16,40229,37086,37086,36807,37017,37156,37714,37295,36109,36039,36178,36178,36876,36388,36248,36527,36388,35968,36109,35969,36318,35759,36248,36527,37225,36388,36109,36318,36178,35759,36108,36248
5,25,123270,119430,119639,117055,118451,117963,118521,117264,118312,116985,116635,117613,118382,117055,115030,114750,128718,117055,117124,117683,116496,116147,115658,116287,116287,113912,116566,117474,117265,116985,115099,115379
6,36,166293,158122,157913,158960,160775,157772,157144,158262,156725,156236,157423,157703,176630,170833,150579,147506,148903,148624,147715,147576,148623,147855,148065,148204,148065,147995,149252,147715,148064,147506,148414,149880
7,49,231107,226358,219792,222796,219442,219652,219443,220141,219792,219582,222237,220072,221188,223494,224052,219024,221468,220909,220840,219233,219164,241373,219583,219512,222796,222027,221608,219513,222166,219931,219722,220351
8,64,419120,408085,412206,439864,378822,381197,380707,381825,385037,387412,386504,385318,384968,416746,387203,386365,379381,380568,377704,380917,379311,379660,382873,419261,378124,382035,379032,378752,380638,382943,380777,382733
9,81,368764,386504,342643,347463,337685,335939,337825,339081,339222,338733,337964,336917,339501,348720,337196,341945,340479,339292,343063,337266,338034,336917,338034,337196,342993,337196,337126,338733,337894,337406,336987,337825
10,100,529890,518156,526537,493222,492245,490639,488124,490289,488264,486867,497833,492175,489172,492175,493083,493083,491407,492245,501883,494480,487984,489660,491058,488892,491337,488473,498112,466473,467870,469197,468359,471851
11,121,669434,671808,664196,667199,664195,663776,653160,661751,656164,653789,653091,657211,652252,667268,622500,623967,623827,626132,625783,628786,622639,625992,632697,634722,632836,633814,638075,633325,631719,630811,633674,632906
