i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,0,4400,2026,1606,1606,1606,1606,1606,1047,977,1047,978,1258,1187,1397,1188,1187,1396,1187,1188,1048,978,1048,1606,977,1327,1187,1047,977,977,977,1047,1047
2,1,5098,4051,3841,3003,3562,3423,3422,3492,3422,3562,3562,3352,3422,3422,3492,3422,3493,3422,3422,3422,3492,3492,3422,3422,3353,3423,3283,3492,3422,3422,3492,3422
3,0,5378,5029,4679,5447,4609,5099,5099,5099,5029,5029,5028,5098,18507,5238,12362,12013,4959,4889,5029,4819,4819,4888,4819,4959,4889,4889,4819,5028,4749,4749,4749,5028
4,1,13968,13619,13200,12361,12711,12920,12501,12990,12431,12432,12920,12990,12781,12990,13060,13130,12991,12921,12641,12990,12920,12641,12711,13060,12921,12641,12851,12921,13130,12571,13060,12921
5,1,28565,26260,26819,26888,25911,26190,26470,26330,25352,26399,26190,25841,25561,26889,26749,25911,25632,26121,25911,25492,26330,25911,26191,26260,26050,26819,25981,25632,26749,25562,25632,25492
6,3,60202,58108,57269,56361,56501,56571,56920,56362,56431,56501,56571,56501,56291,56291,55872,56152,56222,56501,55453,56221,55873,56571,55873,56501,56291,56361,56640,56152,56362,56152,55593,56571
7,2,163846,163008,162240,160634,196532,162589,161332,160075,160773,160913,162170,160913,160214,172647,178513,160773,161541,179420,172716,166989,161053,161821,161960,162100,159237,165103,172506,162728,184658,157072,156443,158329
8,6,198277,191992,173205,170900,167897,168386,176418,166431,165312,166220,166011,166291,165383,166500,166151,166151,165802,166081,166081,176836,165872,166430,166361,166221,165383,166570,166221,166081,166221,165522,166291,165662
9,5,393413,391457,391876,392085,408847,391247,392225,391457,391806,391876,391876,391666,392434,392504,402073,419672,380981,380772,381190,451660,384263,396904,392924,392155,421558,392784,391317,392435,391945,417437,444047,414854
10,9,1336680,1311677,1293030,1294217,1268795,1269563,1283043,1313633,1300153,1267608,1275639,1268795,1389479,1314052,1302807,1267538,1275430,1267398,1282274,1274523,1268027,1299386,1275779,1268096,1266979,1274662,1266839,1268935,1275360,1268934,1314122,1278224
11,12,1463511,1544595,1532304,1496266,1453593,1457854,1511072,1457016,1451219,1513098,1465187,1450241,1548297,1496126,1487745,1455689,1547948,1554513,1549205,1551999,1588735,1552068,1562056,1524761,1490748,1491307,1501364,1535307,1497593,1516799,1492914,1498152
12,21,1717941,1741267,1747553,1710398,1733026,1687281,1672405,1665281,1683229,1701109,1730512,1682391,1710677,1821933,1784708,1765711,1697477,1714099,1668843,1681134,1744690,1756562,1861183,1761730,1776187,1732887,1706276,1710327,1734562,1748601,1707534,1740499
13,19,2578587,2545483,2484232,2486746,2549463,2512727,2503159,2506232,2480600,2482416,2477946,2537381,2537660,2480251,2499947,2485279,2480461,2648357,2625869,2673011,2639348,2625170,2510632,2578866,2555748,2527533,2501413,2482416,2503229,2545203,2498061,2536822
14,22,2727836,2740128,2703741,2701296,2761150,2782940,2791880,2700599,2701576,2820934,2814718,2842375,2953910,2858508,2819398,2764781,2733843,2713309,2701296,2715544,2698852,2703113,2735728,2714636,2803124,2778331,2715893,2705417,2728535,2717360,2760801,2746484
