i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,0,8800,2444,1956,2025,1955,1955,1956,1956,2025,1955,1955,1956,1956,1956,1955,1955,1886,1885,1886,1885,1886,1955,1886,1886,1886,1885,1885,1955,1885,1885,1955,1886
2,1,9918,7054,6565,6774,6635,6635,6635,6495,6565,6146,6565,6566,6635,6495,6425,6286,6285,6286,6286,6216,6216,6495,6286,6425,5587,6285,6356,5797,6286,6216,6356,6286
3,0,11245,9359,9079,9080,8940,8940,9219,9149,9219,9010,8870,8870,8870,9219,28565,8730,8870,21162,9917,8939,8869,8381,8940,8800,8731,8940,8451,8381,8940,8800,8520,8939
4,4,20254,18648,18158,18019,17810,18159,17250,15993,17391,17181,16972,16832,16832,16762,17461,17111,16483,17041,17042,17530,16762,17321,17181,17111,17182,16901,16902,17042,17390,16971,17112,16901
5,3,78921,72915,72217,70750,70819,70819,70750,69911,70191,70191,70470,70540,69982,70191,69842,69702,69982,70191,69841,70051,69772,70191,70051,70052,70261,69911,69702,70540,69981,69493,69563,69563
6,5,50146,47352,47353,47562,47073,47003,46934,47004,46794,46724,46655,46444,46585,46095,46654,59785,46375,46445,47213,46584,46654,46445,46305,46585,47004,46305,46864,46095,47213,47423,46654,47003
7,8,156375,150859,149461,149741,148554,147646,148903,149811,147995,148135,147785,149321,148623,148483,148344,148414,148484,147995,148972,149112,166782,148274,147925,148065,147017,147786,148064,148902,149183,148553,149532,147925
8,9,466194,457464,456556,457324,478905,429457,428619,431622,433508,431552,432251,431902,428410,430644,479883,431623,430994,432111,436720,433158,430086,433369,426733,458372,426454,436651,430435,429247,429248,430225,426384,427361
9,9,610278,565439,559084,561388,559223,560271,559781,566068,560481,559991,559293,558245,557617,559643,566207,560620,561668,561878,565858,563763,558804,568372,535616,536385,533312,536175,537991,538969,543090,533172,534010,531636
10,12,1072840,1066833,1066834,1057056,1063271,1072770,1013404,1016897,1010750,1019620,1011868,1012427,1013614,1021855,1011240,1012776,1009284,1016128,967099,968846,967448,976249,968915,965772,971010,976179,968985,968845,968845,990706,936439,933715
11,18,1117608,1111113,1104967,1101964,1103012,1109228,1107411,1104269,1103151,1081430,1055449,1056357,1070046,1054541,1061315,1060059,1067462,1060058,1060128,1056357,1050770,1016897,1018852,1016408,1026046,1018363,1019271,1019061,1017176,1016547,1018084,1014521
12,16,4260489,4215301,4194279,4060183,4059693,4053478,3935165,3923013,3930626,3797578,3835222,3818949,3657545,3701056,3697285,3608865,3544401,3541048,3518489,3437124,3435797,3431327,3350101,3335853,3361275,3323422,3253510,3238075,3239961,3196030,3150563,3162925
13,21,1656787,1645123,1632482,1597980,1631854,1600005,1608945,1601263,1598050,1600844,1595885,1596444,1606710,1597841,1603218,1600425,1595955,1611320,1599796,1602101,1601193,1601961,1603358,1603219,1612577,1600704,1599657,1608177,1600355,1606082,1599307,1603218
14,32,3963522,3960309,3962963,3948436,3959890,3938379,3940893,3941242,3943826,3939845,3937820,3937890,3940195,3941870,3941871,3942639,3940194,3956956,3948575,3948576,3957515,3957445,3948157,3948716,3955770,3953604,3949343,3957096,3949414,3952068,3954791,3953534
15,29,1756940,1743740,1749956,1746114,1737664,1750095,1744299,1752191,1741994,1744439,1747232,1740248,1749397,1746952,1744857,1737874,1750235,1746952,1743321,1746953,1745626,1750514,1742901,1750375,1741436,1741924,1748908,1745137,1748699,1741086,1758337,1745905
16,33,873791,872673,857936,858984,858146,858286,862756,855701,852978,853467,862616,860171,853048,854654,852070,858006,855283,853397,854654,855003,861708,858355,857308,856959,858914,861498,855073,859333,856889,863594,859752,855003
