i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,0,7054,2585,1257,1677,1607,1607,1606,1606,1676,1676,1676,1607,1676,1676,1676,1676,1676,1607,1607,1677,1676,1676,1536,1536,1536,1606,1606,1606,1606,1606,1536,1606
2,2,8381,5727,5448,4889,5308,5308,5238,5308,5238,5308,5098,4959,5099,4610,5029,5028,5168,5099,4959,5029,5029,5099,5028,5028,4958,4958,5029,4819,5028,5029,5029,5168
3,0,7892,6496,6495,18298,7683,7333,6146,6216,6286,6285,6216,6076,6286,6286,6146,6216,6146,6216,6216,6216,6147,6146,6216,6146,6146,6216,6146,6146,6146,6216,6146,6146
4,5,52101,47911,45746,44838,44908,45257,44000,44978,45397,44489,45327,45257,44349,43860,43232,43441,43511,43371,43441,43581,43721,44350,44909,44699,43791,44140,45397,45187,44140,44000,44000,44489
5,8,50845,47772,47213,47073,46235,46724,46654,46375,46514,46724,46515,47213,46584,46165,45956,46445,45956,45886,45886,46096,45607,46096,46515,46515,46305,45397,45676,46724,45607,45886,46445,46095
6,6,105600,104274,104623,102527,102387,102388,110698,102457,101410,102178,102178,101898,102527,101968,101759,101899,101131,101479,101340,101619,101061,100641,101479,101480,102108,101271,101061,101549,100991,101271,100991,101340
7,13,269798,267423,266516,265188,281531,287677,266026,265118,264420,264700,264630,264420,264699,264140,265398,264070,266725,265747,263652,286769,255411,256527,254852,256388,256598,256527,254433,255550,254991,255480,256248,256109
8,17,424357,439722,421703,416465,416046,416186,416674,414579,415697,417024,415138,425335,417792,417023,417303,416395,418840,415348,417862,418071,438255,405151,404941,402985,402007,400820,400610,400471,403335,402916,412274,405361
9,25,327207,321829,319036,318337,318547,318268,317569,316592,323715,320922,327417,321062,318757,320782,321690,320642,320433,318896,316382,316102,316521,315893,316661,320153,305417,306465,308839,308071,305975,309468,307303,306324
10,23,616281,622148,613557,611951,613558,609995,609298,613837,617678,609507,611044,615025,607901,611392,630250,591837,593513,594561,592745,591557,591767,600567,589812,595818,594630,593932,592605,596307,600008,594631,591836,591418
11,22,2097900,2012832,2016674,2017512,2027219,2023797,2071359,2022400,1973023,1960172,1963035,1959124,1959822,1801632,1824958,1809454,1848635,2023448,1921550,1957587,2060464,1966947,1921200,1876362,1847517,1857644,1841441,1853175,1850450,1851010,1840812,1848286
12,38,569977,551958,551259,554820,554262,552516,560339,554262,553773,551399,552376,550980,552586,560129,550770,552166,554123,547208,550979,552167,558942,552097,551189,548814,552656,551399,551609,553494,558802,537570,536522,537780
13,34,849762,842638,847876,841241,839705,840193,847387,838727,838796,839914,839355,853673,840263,842079,845083,839215,843616,841031,838866,840403,839216,845850,838448,836282,844803,844803,842567,840683,839844,840124,847317,842498
14,60,842638,835793,822174,830625,821196,824060,822663,822035,828251,821546,821336,823012,826364,821476,822175,820079,824130,830415,824829,829787,821616,821197,828740,822104,821336,822733,823990,832162,822524,821476,823921,823222
15,46,1697847,1697219,1695682,1699593,1696939,1690164,1691351,1696590,1691421,1691281,1689187,1692260,1690304,1687720,1692050,1685695,1696520,1687231,1692818,1686184,1686533,1695402,1688767,1698965,1689746,1689746,1704900,1702736,1702736,1692260,1700990,1699803
16,68,1391173,1384329,1376227,1375878,1396342,1378182,1375598,1382094,1375319,1384538,1376157,1378252,1379020,1376297,1378322,1386145,1379789,1381046,1384050,1377693,1378671,1392780,1382233,1381115,1381535,1377065,1379300,1381604,1380347,1380766,1389287,1383700
17,67,2409392,2389557,2394516,2395075,2388579,2395703,2391163,2394935,2402339,2388510,2392350,2388789,2398148,2394796,2388579,2394585,2388928,2387252,2389068,2383690,2389976,2374751,2382293,2388719,2386275,2386415,2387323,2385437,2384319,2378871,2389976,2379081
18,91,1088131,1071648,1075629,1060683,1072626,1064035,1066829,1067248,1071368,1064175,1065572,1072067,1070600,1071299,1061311,1069553,1061870,1064385,1068505,1076606,1062988,1062779,1074232,1059914,1065502,1066479,1071717,1066690,1064734,1070112,1074721,1069134
19,85,3982153,3966089,3993537,3975937,3964204,3966648,3969162,3967207,3971747,3967487,3967905,3960572,3971467,3974122,3970699,3956311,3980686,3974959,3964134,3976357,3971817,3981106,3979988,3953448,3967347,3973702,3973353,3968673,3968254,3973423,3969791,3962457
20,98,8028980,8058383,8034706,8035893,8038827,8059011,8054262,8037639,8033380,8035265,8040713,8061735,8023043,8045951,8056287,8034217,8043437,8699178,8308066,8190662,8869312,8360447,8110065,8081081,8044903,8035614,8045462,8039246,8036522,8044205,8039944,8080662
21,119,3078544,3078544,3078544,3078544,3055496,3055496,3055496,3055496,3055007,3055007,3055007,3055007,3066740,3066740,3066740,3066740,3055286,3055286,3055286,3055286,3049699,3049699,3049699,3049699,3056124,3056124,3056124,3056124,3055286,3055286,3055286,3055286
22,114,4955883,4955883,4955883,4955883,4937655,4937655,4937655,4937655,4941845,4941845,4941845,4941845,4939400,4939400,4939400,4939400,4936049,4936049,4936049,4936049,4928226,4928226,4928226,4928226,4939191,4939191,4939191,4939191,4941356,4941356,4941356,4941356
23,121,9737372,9737372,9737372,9737372,9695468,9695468,9695468,9695468,9718235,9718235,9718235,9718235,9702242,9702242,9702242,9702242,9711252,9711252,9711252,9711252,9684083,9684083,9684083,9684083,9725429,9725429,9725429,9725429,9708947,9708947,9708947,9708947
24,147,3133020,3133020,3133020,3133020,3110112,3110112,3110112,3110112,3106550,3106550,3106550,3106550,3102290,3102290,3102290,3102290,3120728,3120728,3120728,3120728,3105992,3105992,3105992,3105992,3105083,3105083,3105083,3105083,3102429,3102429,3102429,3102429
