i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,0,4051,977,978,908,907,908,838,908,838,838,838,908,838,838,839,838,907,838,838,838,838,838,838,838,838,907,838,838,838,908,838,838
2,0,2584,1955,1885,1816,1816,1677,1676,1676,1677,1676,1676,1676,1676,1676,1676,1676,1746,1676,1746,1676,1676,1676,1676,1676,1745,1676,1676,1606,1676,1676,1676,1606
3,3,29472,8940,7822,17530,16133,7543,7193,7264,7403,7333,7333,7263,7263,7263,7123,7403,7193,7124,7333,7263,7194,7333,7264,7193,7193,7264,7333,7403,7263,7263,7263,7403
4,8,30170,28145,26050,24373,23955,23815,23814,23884,24025,23815,23815,23885,24024,24443,23885,23955,24094,24094,23885,24025,23745,24374,25002,24583,24653,24513,23885,23605,23815,23606,23396,23535
5,5,40296,36944,36107,35967,35478,35548,35618,35618,35338,37294,37154,36106,35758,35897,35757,35617,35618,35408,35198,35757,35687,35897,35478,36106,35897,35339,35897,35269,35268,35478,35199,35618
6,6,37224,33662,33313,33103,32824,32196,32405,32475,32265,32405,32405,32195,32195,32126,32475,32685,32265,32266,32335,32266,31986,32195,31917,32056,32125,32125,32336,32405,32475,32056,32056,32126
7,16,98123,94142,94212,93165,92606,92397,131785,92467,92885,92396,93025,93165,93863,93025,93025,92467,92327,92606,92676,93723,92955,92466,92745,92676,92676,92886,92327,92327,92536,92955,95470,92536
8,20,131645,126548,122776,123404,125220,122357,125640,128992,128922,128224,132972,125499,161606,125081,124732,124871,124732,127106,124313,124732,124801,124522,124871,124802,124452,124592,124313,124452,124941,124452,124732,125220
9,23,266923,263850,262732,263850,261964,299188,262243,263361,263919,262314,263291,263640,262523,262174,263011,262174,262244,261964,267062,263012,307289,258193,258891,258612,267342,263151,262803,263570,262803,262592,267342,267970
10,19,349333,343326,370284,339694,340812,339345,338787,339695,339555,346888,339694,339624,338857,340393,370074,339485,339276,339694,339624,340043,342488,345980,338856,339345,340113,365046,339276,339136,338996,338996,338577,339834
11,24,1173775,1203317,1172169,1171052,1193749,1164627,1161554,1159668,1160855,1153383,1160296,1189140,1178245,1170214,1175451,1174963,1170074,1168886,1171471,1161903,1153313,1162322,1176360,1166094,1155757,1159528,1160925,1160995,1178804,1173008,1174683,1170703
12,35,597608,570161,570720,570092,569044,569812,567717,567228,571209,575958,578612,561921,573514,571558,578403,577005,569952,561641,574910,576377,573374,580567,572466,573304,567438,586294,569603,569742,574212,572606,574561,569603
13,38,3867306,3857249,3855294,3879249,3820305,3823378,3841047,3866818,3859694,3846564,3895381,3850126,3825543,3891680,3878760,3888747,3817861,3830292,3842933,3832806,3841885,3873104,3898874,3840419,3820235,3839580,3830083,3822959,3860742,3883021,3865700,3831689
14,63,1518778,1523806,1501598,1480297,1501178,1489446,1502924,1480367,1462627,1480018,1486721,1490353,1492588,1482113,1480576,1478341,1501807,1499223,1496709,1490703,1491261,1486792,1482881,1471637,1484626,1471637,1497267,1484418,1478690,1461231,1474430,1477992
15,60,864810,850214,850354,869490,877172,869000,905246,939257,944566,889533,853077,871375,854614,852659,870956,851681,863413,855591,857757,858315,880943,866486,855661,878988,855103,859014,858385,845675,919843,884156,887089,887089
16,60,2395739,2389873,2395880,2375207,2397345,2401606,2374299,2369480,2379887,2393435,2384705,2395810,2379747,2366408,2392736,2377302,2382121,2382889,2378560,2377023,2388826,2392039,2374369,2389873,2371576,2382820,2387219,2382890,2403422,2400559,2385962,2399441
17,76,3084207,3070100,3112353,3071637,3080576,3088258,3127088,3115356,3083509,3091750,3111864,3050057,3088747,3055504,3087350,3063396,3097058,3113260,3045168,3114099,3070379,3104252,3114657,3081204,3124016,3104670,3072335,3095801,3099991,3085046,3098314,3095800
18,73,7077782,7129044,7076595,7126529,7141335,7108651,7148878,7154046,7130929,7083020,7126739,7168222,7081833,7088957,7100339,7111933,7074360,7106695,7101038,7095521,7087489,7064164,7098873,7116892,7111375,7113399,7100828,7141824,7113889,7061021,7103413,7068074
19,84,1888503,1886407,1855748,1879005,1882496,1858681,1877957,1865805,1885290,1880052,1874884,1881030,1876142,1919441,1880751,1875722,1855329,1888433,1855120,1871183,1877189,1888154,1874674,1865037,1856237,1856586,1854840,1860916,1870973,1889690,1875234,1894648
20,96,2656936,2630816,2627534,2595897,2617686,2636124,2619153,2649812,2640175,2632213,2591776,2625997,2617896,2600017,2628930,2613776,2623902,2600786,2637311,2667202,2633330,2645622,2609166,2640733,2608678,2603789,2619293,2643736,2636682,2615242,2629768,2647507
21,112,3649480,3659397,3627900,3655486,3664146,3730004,3661423,3655835
22,116,2096482,2185526,2032719,2068966,2035373,2028599,2026853,2028180
23,123,11704303,11749768,11712124,11688869,11669314,11745019,11692919,11727419
24,152,5308843,5264984,5285307,5298367,5285028,5278393,5257372,5320087
