i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,0,3841,977,908,838,838,908,838,908,839,908,907,908,838,838,978,908,838,838,838,838,908,838,908,908,838,838,908,908,908,908,838,838
2,4,6565,4958,4749,4679,4679,4609,4540,4539,4609,4610,4609,4610,4539,4609,4610,4609,4609,4609,4469,4260,4330,4330,4330,4330,4330,4260,4260,4330,4260,4330,4330,4260
3,6,5867,5517,5168,5238,5308,5308,5238,5168,5168,5168,5168,5099,5168,5168,5168,5238,5168,5168,5237,5168,5168,5098,5169,5028,5168,5168,5098,5169,5098,5098,5168,5098
4,8,29821,26958,26050,25491,26748,27586,26399,25352,27517,27586,27586,27447,27516,27516,27586,27586,27516,27516,27517,27516,27447,27586,27516,27517,27376,25422,25282,25212,25421,25212,25142,25211
5,13,32265,30240,29891,29192,29123,29052,28983,29053,29123,29192,29053,29053,29122,29123,29333,29193,28983,29123,51471,37852,29052,29123,29122,29192,28983,29122,28983,29122,28983,29192,28983,29122
6,20,42950,38272,37084,37224,36874,36874,36874,36944,36945,36875,36805,37015,36875,37014,36804,37014,37783,37643,36805,36945,36665,37014,36874,37643,37293,37014,36875,36945,36735,36945,36805,36945
7,26,83038,75216,73749,74029,73260,73191,73051,73261,72841,72981,73051,72702,72702,73051,72772,72701,72912,72912,72981,73191,72841,73261,73051,72981,72912,73121,72842,72702,72772,73052,98612,94491
8,31,107760,96377,95819,95330,95260,94980,95539,95260,94911,95260,95539,95120,95120,95189,95260,95260,96656,95748,95121,96307,95190,95190,94911,98542,99030,99450,99381,99171,95190,95330,95330,98821
9,31,290179,286058,331384,284452,285291,293531,290179,305753,289341,289271,289271,288642,291227,288852,286268,327264,309524,288782,290319,288014,289201,289271,287036,285360,284522,289620,290458,285780,289201,332222,290388,292972
10,53,377407,362880,363021,366652,371262,354012,360576,373007,421964,367979,364138,360786,360087,373776,361973,356875,371611,367002,364627,411838,354501,358551,354011,354710,359807,361135,363160,360087,360925,353313,403317,368817
11,60,410580,390676,382226,381807,391165,391166,396124,388791,431322,384461,398080,394797,401082,388022,381807,381946,395914,386975,407927,401921,382576,381877,388022,385229,390048,389070,389279,389768,396683,389280,388441,387673
12,72,585875,576307,571489,584548,570301,564714,564784,577984,576517,577285,574352,578403,580777,564504,586922,588320,574282,580358,574072,570091,592230,564714,574422,580777,587341,579310,574002,574631,582034,574631,575749,573793
13,88,765011,746713,777162,746364,771646,752859,744618,754745,759145,764801,765779,749926,750624,764662,789385,779468,745735,744757,750135,746225,752510,796508,747970,775347,755652,752301,759563,773391,759773,765290,783937,754186
14,90,293322,289620,298001,292414,289900,289271,290458,288992,292624,300865,300375,300585,289690,289201,289340,290388,292134,289969,293880,296394,289830,299607,301423,289551,293532,295906,288922,294299,289201,289481,296535,296464
15,113,647263,637136,642584,630571,632667,648101,646704,643352,633854,644400,631270,641676,637416,646145,662069,653339,628617,658088,652571,655434,626522,642584,636857,639093,623868,654387,654875,665351,633645,639441,658716,628895
16,123,480839,506818,498298,501650,502767,494107,493828,473645,486634,501789,492711,503326,488730,493968,503954,489289,493339,490057,476508,473714,483562,496901,483352,491105,479371,477975,482375,493060,502697,489778,482374,481606
17,141,621563,609690,605430,610808,616185,626870,618420,623239,618000,608503,636089,614579,618560,605151,637905,612274,614788,604172,618699,609411,635251,619328,613881,615696,616534,621982,607805,618000,607804,600890,607106,604941
18,161,818437,826608,843929,812641,793645,796718,843020,799790,821021,814108,816762,800419,789873,811384,837853,823187,796438,799720,799930,815016,820603,808311,793784,792527,805029,835478,827865,829402,813689,807613,793784,807263
19,181,1483579,1427708,1452291,1442863,1473802,1415626,1473871,1456412,1463815,1464723,1463815,1452570,1450196,1465840,1457180,1432039,1441467,1460183,1490005,1488398,1493775,1451244,1449428,1459345,1464373,1456272,1441536,1454666,1470728,1437975,1453619,1431480
20,205,1330493,1295924,1290965,1283841,1322811,1271689,1305979,1296203,1293200,1279232,1313592,1283072,1326233,1320366,1319389,1314220,1317154,1312824,1317015,1316875,1324696,1293129,1319040,1319319,1309960,1276508,1282654,1292920,1309402,1328818,1293619,1325186
21,240,1503972,1566477,1556072,1502715,1548948,1532187,1528835,1549786
22,214,2304321,2262977,2255574,2284138,2262488,2281484,2279319,2290005
23,281,1503344,1484068,1489236,1504670,1488398,1488817,1497197,1511864
24,281,2493653,2551270,2546381,2519494,2495609,2524941,2503012,2462156
