i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,0,6566,2375,1047,1047,977,1047,977,1047,978,1048,978,1048,1048,1048,978,978,1048,978,1048,978,978,1047,977,977,908,1048,1048,978,1048,978,978,908
2,1,6006,3701,3422,3422,3423,3422,3422,3422,3422,3423,3352,3422,3423,3422,3422,3422,3422,3423,3423,3422,3422,3422,3422,3423,3352,3492,3422,3422,3423,3353,3353,3283
3,1,6635,5238,5448,5588,5448,5377,5378,5378,5377,5378,5378,5028,5377,5378,5377,5378,5308,5447,5448,5378,5448,5447,5378,5308,5378,5378,5378,5378,5378,5378,5448,5378
4,3,24235,20464,19626,19765,19765,19556,19486,19556,19486,19346,19346,19416,19416,19416,19696,19765,19695,19486,19695,19486,19066,19276,19695,19556,19486,19695,19486,19556,19555,19416,19626,19556
5,9,36527,34991,34223,34432,33664,33873,33524,33873,33734,33594,32965,34013,33734,33524,33594,34083,34083,33873,33803,33803,33384,34013,34292,34432,33594,34292,34083,34083,34083,34642,34502,33594
6,10,88909,87372,85277,85905,85556,84998,85836,85276,85626,85905,85486,83950,85486,85277,112725,108464,85905,86046,84998,85556,85207,86674,87372,85905,85486,85137,84509,83880,85137,85556,85137,84997
7,9,71867,69283,67328,67956,67677,68654,67677,66909,68166,67537,67537,68305,68095,68026,68514,67747,67258,68095,68306,67398,67467,68305,68375,68305,67746,67677,68514,68026,67397,67607,67887,67398
8,20,320364,269310,271056,269939,270148,269869,271405,269589,267774,270916,268192,268192,269310,270009,269101,322390,271126,268751,268402,270218,268752,268472,269869,267774,268052,268611,268332,271685,268192,290821,261278,263443
9,17,280065,276783,274827,274478,273641,274618,272663,273640,272732,271545,273710,272173,303812,272802,272034,271335,273221,271964,272872,272872,274268,272244,274618,274478,272523,271056,304371,271335,271615,272523,272872,271475
10,29,290542,284814,284815,285164,284466,284326,286840,286072,319805,285862,287330,286910,284815,285583,287330,287748,285304,285234,286421,286561,288447,286561,318688,285444,287399,287190,286142,285164,282510,286352,282510,284954
11,33,1433503,1389642,1388246,1390341,1382868,1384613,1391458,1386289,1390899,1387966,1381820,1383426,1389712,1388316,1381331,1389013,1381052,1380074,1385103,1380772,1389642,1381820,1380423,1387966,1377979,1379235,1385103,1383985,1385382,1388176,1381611,1384334
12,46,920515,910877,910668,913461,914857,908781,909689,908991,912204,916115,909759,909200,908642,915207,906337,912274,911645,904522,917861,909690,910737,911156,917581,912623,911715,911645,914997,911296,912134,912833,908293,915276
13,46,1509770,1492170,1499992,1491751,1493147,1486932,1492309,1499783,1494475,1494964,1506488,1496640,1501389,1492310,1494754,1503485,1495104,1492309,1502646,1494125,1496849,1492938,1491053,1500342,1492589,1492170,1501529,1493288,1493148,1493986,1497897,1502017
14,44,5347228,5348834,5350022,5344015,5346599,5357773,5341152,5339406,5359450,5352605,5344434,5354701,5398561,5344853,5350790,5340872,5347787,5350999,5338847,5344504,5356656,5338148,5346319,5368599,5346739,5352326,5355190,5344853,5351418,5337380,5344574,5353584
15,55,1482462,1470379,1497269,1474919,1471846,1470519,1469681,1474919,1466887,1472195,1479878,1471077,1471567,1479738,1465351,1469052,1476875,1475897,1475128,1472195,1466119,1480436,1472964,1465490,1478690,1471567,1478412,1464582,1473941,1477783,1470169,1468564
16,67,6069742,6057937,6065550,6065202,6066249,6058846,6063315,6063874,6046414,6055773,6061849,6051791,6044249,6059544,6068693,6061639,6055004,6074979,6063804,6060592,6064573,6067715,6042852,6052350,6057799,6058007,6055494,6059893,6025182,6040407,6304550,6197412
17,60,4804207,4822018,5089861,5150064,4999765,4926081,4938653,4929015,4934672,4930342,4920494,4920703,4919586,4908202,4923707,4920424,4921122,4917770,4918609,4927339,4922520,4923218,4924335,4926500,4914349,4925942,4923847,4922659,4917351,4918608,4924406,4921681
18,90,3929579,3917986,3923224,3924131,3927064,3926157,3926366,3924201,3931674,3929579,3927763,3945573,3928811,3926227,3926715,3920429,3930836,3922106,3928043,3926157,3929788,3932652,3923992,3926087,3923154,3928182,3904645,3815807,3824118,3823559,3809171,3869725
