i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,1,3352,1117,978,1047,977,1047,1047,977,977,978,978,978,1048,977,977,978,978,1048,978,978,908,1047,1048,978,978,978,977,978,1048,908,978,977
2,4,3701,3072,2863,2933,2793,2723,2654,2584,2654,2584,2584,2584,2584,2584,2584,2584,2584,2584,2584,2584,2515,2514,2514,2584,2584,2584,2584,2584,2584,2514,2654,2584
3,9,8660,7123,6984,6774,6774,6704,6705,6844,6774,6704,6775,6705,6704,6844,6844,6705,6704,6705,6844,6774,6705,6774,6774,6704,6775,6774,6704,6775,6704,6704,6775,6774
4,16,15853,15225,14736,14735,14666,14597,14736,14666,14736,14666,14666,14596,14666,14666,14666,14666,14666,14666,14736,14597,14736,14666,14666,14666,14596,14596,14596,14667,14596,14666,14666,14596
5,25,28633,27307,27097,27097,27027,27028,26957,26958,27097,27167,27027,27098,27027,27516,28145,28005,28075,28215,28075,27866,28145,28075,28144,27866,28214,26539,26538,26399,26469,27167,26469,26398
6,36,46373,44208,44278,43858,44138,43999,68302,43929,43928,43789,44906,46303,43928,45465,46582,46093,43858,43998,44138,43859,43858,44138,43719,43998,43928,46023,45045,43999,43788,44348,43858,44418
7,49,71096,71724,73260,74029,72353,69769,69279,69419,69209,69419,69350,69350,69978,69210,69279,69768,69140,69000,69350,71794,74099,73959,73750,73819,74308,74308,74308,72212,69698,70956,69349,69209
8,64,106294,105386,110205,134299,103152,103081,102802,103011,105666,107481,103012,102942,102872,102872,109227,109716,103710,102872,103011,102802,103849,102941,103640,105386,109297,109926,110205,110205,109646,110904,110065,109507
9,81,160768,146939,151898,152667,152457,172850,153504,152736,149524,144146,143797,143727,143797,146172,151200,145892,144845,147498,152596,165796,145543,143518,150711,148127,143587,143587,143727,143728,144076,143378,143657,150013
10,100,206511,200227,200855,205883,200366,207699,207699,196106,195198,194919,196665,195757,195896,195337,199808,195198,195408,195198,195477,203788,205953,207280,209654,206722,194988,195129,195058,195059,203648,207559,195198,203230
11,121,269087,275512,279563,279493,285988,280121,278655,279562,272300,273976,269297,273417,272090,276490,273697,270554,279423,279353,285988,279423,272858,267481,270205,263710,263570,268668,273627,263081,275163,267621,277468,272021
12,144,359318,343325,341579,338995,339065,337040,337179,345769,362042,351287,339275,356036,351496,345211,361064,351427,343255,356455,337180,343954,360086,353382,337528,355128,361693,344792,337389,337668,337528,337599,358620,356943
13,169,433626,428877,464565,431741,449130,432299,430064,441169,448292,452971,449689,484608,432509,445569,431880,439981,439213,437747,434813,469383,468336,433346,432299,449758,439073,452413,433906,437328,460095,436909,450597,434115
14,196,580915,536987,536149,533495,552700,523088,550605,556681,523718,522600,550186,554237,541177,523089,543762,544110,549767,536009,546555,534962,538174,540408,547393,553050,523368,534892,562897,545507,557170,557030,531330,523299
15,225,689374,697265,683647,686929,665629,700688,679946,664651,692587,706135,698872,670447,703481,706275,671495,708090,685533,666956,685183,681692,684625,695031,677432,664372,668982,679247,708719,700409,686930,668562,707672,668143
16,256,837151,827444,846370,837501,823603,845532,801045,846370,845463,833800,862014,826746,833729,843367,844065,852586,826257,821019,819831,859710,850771,839945,839316,835685,855379,843228,809426,849582,856916,856008,832402,845393
17,289,967400,944144,982834,947916,961464,945261,950499,955807,944144,943376,973337,962861,944912,940372,938837,957483,957553,953922,956156,946519,963349,960137,976829,945821,940583,962232,948195,963698,951756,959159,968588,1000224
18,324,1156941,1114270,1178521,1173842,1155335,1138783,1121882,1126492,1177334,1125235,1143183,1136828,1126282,1165951,1174401,1132917,1148351,1145907,1111336,1129286,1148771,1136339,1174890,1140669,1163367,1112664,1113153,1159036,1170280,1189416,1164694,1200591
19,361,1354305,1360310,1400327,1343689,1382380,1325880,1350393,1359961,1348508,1341244,1373859,1329233,1381402,1368691,1328324,1327975,1348438,1387128,1377770,1366666,1392855,1364151,1349066,1372952,1353397,1395090,1401724,1367783,1336286,1356330,1334749,1367783
20,400,1747425,1605582,1660056,1614802,1563191,1536513,1542588,1561375,1572479,1555509,1547966,1562701,1591894,1570105,1552575,1561445,1586238,1573387,1596783,1569965,1547198,1595875,1590218,1557185,1567521,1557394,1638895,1563819,1574784,1558372,1572688,1604814
21,441,1857559,1848620,1815796,1841287,1838423,1827668,1839122,1798965
22,484,2156747,2125668,2166174,2081321,2084883,2147738,2124831,2070287
23,529,2477653,2441896,2436729,2400831,2439732,2421084,2418919,2422690
24,576,2762175,2827195,2865535,2792345,2767832,2826216,2815951,2816160
