i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,1,3283,1118,1118,1118,1047,1047,1117,1047,1047,1047,978,978,978,978,978,977,977,978,978,978,977,1047,977,978,1048,978,1048,978,978,977,908,978
2,0,3073,1956,1746,1816,1676,1676,1676,1746,1606,1676,1746,1676,1746,1746,1746,1677,1746,1677,1676,1816,1746,1676,1746,1746,1676,1746,1746,1677,1676,1677,1676,1606
3,2,5797,4749,4330,4400,4190,4260,4260,4260,4260,4260,4190,4190,4190,4190,4190,4191,4190,4190,4121,4260,4120,4121,4190,4120,4190,4191,4190,4190,4191,4190,4120,4121
4,1,13619,12920,12012,11803,11593,11524,11803,11733,11663,11593,11593,11454,11593,11663,11524,11803,11523,11523,11383,11523,11594,11663,11593,11523,11523,11524,11593,11523,11663,11593,11733,11872
5,2,26818,24303,23884,23745,25142,25002,23675,23815,25212,25072,25211,25142,25281,25002,23676,25142,24164,25211,24932,23745,23465,23116,23535,23256,24723,24164,24792,25072,25142,24793,23885,23536
6,4,64880,59642,58455,58245,57407,57058,58105,57128,57477,57338,57477,57337,57896,57547,57337,57617,57198,57547,57407,57338,58035,57407,57896,58315,57198,57896,57477,58106,58245,57128,56639,57966
7,8,107062,103431,103640,147289,106294,102732,103012,103571,106293,102733,102662,103430,102593,104408,108669,107342,109576,102942,110414,104548,104129,103570,103291,102942,103291,103570,108389,103221,103291,103011,104758,106853
8,12,288432,322374,334176,298628,272369,269646,344722,345839,270483,268528,281448,278864,271322,271810,271881,272789,320069,312666,266852,267900,267760,269366,267132,268528,291575,271042,278375,270903,270903,270693,277886,275931
9,13,396751,386276,385717,385508,385508,385717,386066,383272,385856,392910,384739,386695,381806,379711,378943,387114,380549,427899,401081,386555,389279,386485,378314,502696,431600,386624,389837,397170,389628,395983,406459,393329
10,9,888483,883873,885619,904057,876959,887436,885479,899099,885411,875563,869138,880801,877797,871373,883734,877449,876890,882966,936043,878147,875633,885969,878915,883524,889112,879125,897143,888134,883734,880172,888204,881709
11,13,1564727,1568359,1552017,1554321,1563260,1554182,1546430,1547337,1552296,1599856,1693160,1546500,1536303,1582955,1570036,1553344,1548455,1551039,1538817,1565425,1564448,1552855,1554112,1552296,1548176,1548944,1547826,1548176,1547198,1555788,1550690,1551528
12,12,2747997,2735916,2732215,2735567,2733681,2712101,2711961,2713218,2700577,2719504,2732564,2708819,2710565,2733961,2735497,2753585,2727326,2718596,2714685,2730957,2751141,2713219,2733402,2727256,2721808,2738709,2742341,2704629,2726767,2769788,2740805,2745833
13,14,5262247,5247162,5256380,5239829,5234311,5251003,5265180,5291300,5256521,5273561,5261409,5252819,5265738,5291648,5286062,5291998,5289065,5286411,5293605,5299191,5257149,5271535,5265389,5255193,5276563,5280335,5280894,5233683,5282989,5296049,5241016,5275516
14,20,7165411,7150116,7125323,7182801,7154027,7123089,7103743,7152910,7122670,7127768,7118549,7116663,7137546,7162128,7131050,7127419,7112194,7105839,7177213,7140479,7108423,7136358,7173023,7166109,7184547,7142294,7181194,7100042,7157310,7130143,7121413,7107305
15,28,9744750,9745308,9778900,9734064,9813260,9746845,9805508,9720934,9786653,9804670,9755783,9755853,9739092,9754178,9702916,9779180,9769682,9815216,9824713,9739092,9781973,9794334,9765631,9745029,9759066,9754456,9760183,9760114,9776316,9746215,9760672,9816403
16,28,19495783,19503675,19582174,19469175,19489148,19503047,19529586,19510659,19574841,19438586,19459468,19537407,19465404,19536010,19548791,19412746,19495365,19442776,19506888,19543204,19436351,19430834,19490336,19542435,19446058,19462261,19474413,19474622,19544461,19504793,19417984,19535731
17,35,25433995,25585405,25496989,25442725,25453690,25468076,25341809,25482184,25495942,25474641,25492381,25446636,25489517,25438954,25461372,25463956,25417444,25415907,25517662,25505789,25376937,25506767,25445658,25502856,25478343,25468565,25449359,25453411,25474990,25447614,25439932,25484419
18,46,5131579,5148201,5122919,5146455,5148900,5120615,5142265,5156232,5140729,5174111,5155953,5120685,5146385,5136468,5191920,5160841,5123199,5140728,5162588,5150226,5158747,5138074,5134233,5127738,5132348,5188847,5120684,5120755,5144779,5121941,5126900,5169432
19,46,56159640,56036445,56054603,55986720,56101744,56092315,55951871,55854725,55976244,56051670,55953267,55825045,55882311,56206711,55912412,55942163,56061936,56018426,55973311,55946144,55884476,55971286,55952778,55908781,55909339,56125069,55944817,56016681,56029391,55919745,55926240,55923516
20,65,8952853,9063127,8932110,8918352,8996152,8929456,8925196,8993359,9005092,8913534,9003205,8956833,9007047,9015288,9020317,8986165,8928758,9000622,8934066,8983302,8939792,8908575,8963328,8984768,8960744,8887344,8981975,8923730,8947963,8969823,9000342,8938605
21,57,54162753,54150671,54205982,54142081,54183564,54257942,54079296,54138239
22,46,63689955,63645119,63786192,63596651,63578075,64468582,63699663,63693936
23,72,69435763,69435343,69376400,69451755,69372699,69387155,69357893,69201315
24,74,101684021,102524106,101561734,101612297,101642327,101562433,101722083,101645610
