i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,1,3283,1118,1048,1118,1048,1048,1048,1048,1048,1048,1047,1047,977,977,978,978,978,977,977,978,978,1048,1048,977,977,978,978,1048,977,977,977,978
2,2,3282,2235,2026,2025,2025,1956,1956,1956,2025,2025,2026,1956,1955,1955,1955,1956,1956,2025,1955,2025,1956,2025,1955,1955,2025,1956,1955,1955,1955,1955,1956,1956
3,4,4610,4260,4121,3911,4051,4051,3981,3981,3911,3981,3911,3841,3911,3841,3911,3911,3911,3841,3911,3911,3911,3841,3841,3841,3981,4260,4260,4260,4330,4261,4260,4260
4,9,15923,13619,13199,12920,12781,12641,12641,12710,12920,13828,12990,12780,12571,13688,13898,13898,13828,13898,13828,12781,12640,12781,12570,12781,12501,12640,12781,12781,12780,12641,12640,12641
5,12,33941,31707,31078,31986,31636,31218,31707,55800,38621,30379,30380,29961,30449,30030,30031,30031,30101,30031,30170,30170,29891,29891,30101,30100,30449,30100,30240,30240,30170,30170,30310,29821
6,16,70676,68860,62715,63134,62017,62016,61597,61528,61807,61178,61598,62226,63274,60899,60270,60270,60480,60131,60271,60271,60410,60480,60480,60341,60200,60340,64111,67044,62575,61318,61387,61178
7,31,83317,80454,79895,83666,81851,80803,80873,81222,80733,80943,81851,83946,80035,93933,88415,85064,80943,80873,80873,80454,80802,80593,80733,81082,80802,80942,80943,80733,80733,80872,80593,80802
8,32,144216,140584,140095,139886,139886,140235,139607,139677,140096,140236,139537,139956,139816,139677,139537,140165,139607,165028,139676,138070,137441,138070,137163,140096,144426,138140,152107,139956,139816,139606,150641,139956
9,49,239475,228860,228302,238218,232841,232841,232212,263919,248834,230606,227533,228022,237800,239685,232352,241291,237520,227883,236472,236054,241710,235006,227603,238568,266084,242758,231793,238637,233749,236473,241221,234307
10,57,389558,387952,377057,379222,379781,414491,374473,380060,393958,386555,386205,375171,382714,376219,376917,418820,378104,377616,380619,381457,386346,393609,373006,387183,379571,379152,386834,385647,374822,387952,374752,378803
11,55,470360,456463,455066,471897,459815,462888,458349,465054,444591,456393,449130,448921,471758,472456,453739,460583,465891,466171,452413,469313,466170,451435,464425,466450,469034,447315,461143,457232,465123,457790,457231,463936
12,58,745454,736375,738819,778907,762914,735886,748108,743080,744616,734490,748457,743638,743778,746781,756558,739378,751949,755651,750063,743917,743080,750413,742870,737143,737912,753206,745943,751391,775275,738331,739587,740426
13,88,719823,679946,679597,687977,682180,680086,664163,663813,673031,686510,683437,678828,665838,689164,681762,687978,683857,682530,674359,682181,679178,673172,663604,690980,694961,683926,684834,669121,668422,691957,691120,674708
14,95,530562,527977,524206,528327,522949,522460,523508,532098,516734,517082,512823,514289,517362,520784,525114,531260,531400,510587,516245,541456,530003,510239,518898,522740,526092,522530,521762,517711,521343,510588,511077,527139
15,112,1092621,1102817,1055117,1071878,1062590,1082493,1089548,1084799,1072786,1061472,1096531,1068107,1058400,1086684,1085357,1080259,1105051,1059727,1067338,1073415,1064475,1090455,1084868,1074602,1099744,1086894,1087103,1066850,1083402,1083681,1094995,1079491
16,130,1711039,1675701,1691553,1665783,1696093,1683801,1738555,1677795,1670882,1715368,1701051,1675072,1677796,1674024,1685478,1692811,1684640,1693230,1687642,1672209,1678564,1700493,1697769,1685827,1688061,1678494,1704473,1679332,1687294,1710549,1688201,1724308
17,147,2123085,2145572,2083206,2119802,2070147,2114215,2089213,2102482,2076362,2116659,2133770,2114774,2134328,2120780,2105904,2113028,2115542,2122037,2100178,2123434,2111561,2090540,2102552,2101993,2109047,2099339,2118615,2152766,2138170,2124551,2122735,2134538
18,160,3081266,3070092,3026303,3059406,3016456,3030703,3048023,3061432,3082104,3043553,3089716,3071559,3038316,3055985,3058079,3039084,3062131,3053191,3051375,3059826,3039642,3019738,3062619,3060454,3058638,3061153,3081615,3068137,3080288,3029446,3037687,3045439
19,186,2544000,2508383,2566069,2526261,2543441,2532687,2509779,2512363,2517251,2542324,2537645,2503773,2538901,2570189,2515296,2533664,2520883,2509011,2510268,2581154,2534991,2511944,2522699,2534991,2507195,2544489,2527308,2499862,2492040,2503843,2583599,2544000
20,204,2373106,2318841,2324149,2336231,2327920,2327571,2383721,2338815,2332948,2336301,2337139,2339444,2330644,2310670,2294677,2313953,2368566,2334415,2350897,2358998,2352574,2337698,2324079,2299636,2374013,2329666,2292512,2338257,2310530,2356275,2324708,2331621
21,222,5280823,5252259,5213219,5198065,5229003,5219435,5249117,5277541
22,229,8253770,8166892,8167590,8357200,8118213,8164587,8145451,8200973
23,272,3225761,3149288,3195172,3204041,3185185,3227647,3183161,3227508
24,275,16662302,16553354,16525768,16538479,16601752,16570953,16486449,16599028
