i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,0,4260,1047,907,838,908,908,908,838,908,908,908,838,908,838,838,838,908,838,908,838,838,838,838,838,908,908,908,838,908,838,838,839
2,0,2305,1886,1676,1676,1676,1676,1676,1676,1676,1676,1676,1746,1606,1606,1607,1676,1676,1676,1676,1676,1676,1676,1746,1676,1676,1607,1676,1606,1607,1676,1606,1676
3,0,4260,3911,3842,3841,3701,3631,3631,3701,3631,3771,3701,3701,3632,3632,3632,3701,3631,3631,3701,3631,3631,3631,3701,3561,3631,3701,3631,3561,3562,3702,3632,3562
4,0,9079,8800,8730,8591,8590,8590,8660,8590,8591,8520,8520,8590,8590,8660,8730,8660,8730,8591,8590,8590,8591,8590,8730,8660,8590,8520,8590,8590,8660,8590,8660,8590
5,0,21441,20393,20323,20183,20043,19974,20114,20253,20043,19974,20183,20253,20254,20253,20322,20113,20043,20043,20113,20043,47909,29751,28703,20393,20253,20183,20323,20044,19974,20113,20044,20183
6,0,47001,46792,46302,46303,46303,46094,45884,46024,46303,46163,46373,45814,45954,46094,45884,46094,46024,46163,46302,45954,46233,46372,46303,46233,46023,46372,46093,46303,46163,46233,46163,46163
7,0,103291,103640,103082,103500,103500,103360,104408,104268,103849,103989,104059,104268,103989,103501,103151,103570,103640,103500,104199,104478,103500,145753,102942,122916,113417,164190,131087,104129,104268,104687,103989,104409
8,0,230606,231094,317973,281727,247577,231234,231724,231654,237589,231234,230676,265456,231514,231165,230815,231375,229908,229838,230326,230466,230676,231444,231514,230606,230606,230257,230815,231723,255538,231095,230466,230257
9,0,507095,508422,508213,507514,506607,506746,517781,508004,508144,505070,507165,506257,506397,556821,560173,507305,506258,507585,680015,554934,509051,535450,506956,505909,508632,507375,509400,512403,528955,524136,507236,508982
10,0,1109032,1106727,1117343,1104492,1104073,1108473,1104632,1102747,1160433,1109381,1105051,1103584,1109031,1104981,1101559,1104562,1105680,1102886,1105120,1104073,1109521,1103235,1102467,1107845,1104562,1102816,1104632,1108612,1103724,1104353,1103934,1108054
11,0,2388748,2388608,2389726,2380647,2384349,2383510,2389028,2389516,2384977,2390145,2385396,2390983,2392310,2383231,2389447,2387422,2392449,2397408,2385186,2390215,2386374,2390983,2386583,2388399,2388958,2384069,2390144,2385605,2389167,2392520,2388888,2391612
12,0,5130109,5128154,5132205,5128434,5128853,5183187,5155531,5152528,5126268,5134369,5128992,5128852,5131297,5130599,5125151,5127246,5132833,5129620,5131645,5129551,5122846,5128992,5134649,5132204,5124173,5129481,5132065,5128084,5121659,5128713,5130319,5129341
13,0,10980251,10965237,10974595,10973058,10975992,10966005,10968379,10970823,10967052,10959161,10962862,10961465,10982835,10956855,10968937,10964049,10968588,10956087,10966772,10966214,10960907,10959230,10963001,10959510,10953434,10958532,10960697,10955459,10954830,10965934,10955459,10966772
14,0,23349097,23330310,23352798,23348328,23371934,23362995,23362017,23364811,23357897,23370538,23369280,23357058,23359642,23399939,23381153,23374797,23371445,23365928,23364531,23368372,23354893,23381571,23379825,23372772,23361459,23375705,23370328,23369490,23391699,23364671,23353496,23502881
15,0,49587752,49612614,49627769,49592013,49650327,49596482,49590197,49614500,49600044,49628188,49564985,49569804,49582584,49608355,49561283,49576019,49581048,49612545,49621903,49572527,49650327,49592780,49606399,49662409,49559607,49575460,49564286,49543405,49555138,49555208,49586076,49584818
16,0,104931154,104932062,104859151,104902660,104910901,104870604,104980181,104885620,104895886,104954341,104907130,104918933,104839038,104902032,104976270,104914183,104865087,104921796,104866274,104924659,104903987,104956226,104869138,104932761,104910692,104887994,104965863,105082354,104890997,104889810,104913904,104912716
17,0,221420750,221538847,221497991,221440305,221432902,221458882,221635502,221467262,221447777,221444844,221480182,221584031,221507767,221443796,221510981,221407130,221426335,221479552,221471241,221363760,221464816,221529556,221439255,221454900,221335476,221592201,221408945,221555187,221616156,221446868,221406920,221336383
18,0,467481342,467640573,467411783,467581001,467294942,467397674,467426028,467421838,467478197,467305835,467599994,467430147,467319453,467517025,467401023,467472678,467545518,467579738,467483012,467539930,467335792,467317564,467622268,467582530,467463455,467534132,467428396,467562066,467540975,467605086,467535107,467567582
19,0,983956019,983938766,983910900,984164202,984410310,984821097,985543852,999625619,986260389,985785977,984765289,985766279,985411359,988554638,984578466,984975983,984966065,984956495,984798171,984467066,984503171,984406653,984667288,984799351,984181700,984486194,985274665,985024783,984147753,984246083,984046135,984544709
20,0,2060980918,2060774819,2056818895,2062333945,2066386095,2064128777,2065857616,2056790649,2063855342,2064483530,2068045625,2064823701,2059905615,2056697867,2061846128,2061530943,2061591976,2060846586,2057101364,2060341085,2061100570,2059066175,2061104051,2057870953,2057641319,2056931477,2055030335,2054695874,2054617998,2057002899,2060429927,2060183951
21,0,4273437619,4279708023,4283834113,4286611557,4281057507,4281179213,4283175028,4281683959
22,0,8902920227,8899293222,8890953047,8882644221,8884217768,8897007467,8927541875,8897336849
23,0,18449181154,18482003095,18445503663,18428333862,18444903863,18443320131,18428831726,18432317570
24,0,38284826345,38213844738,38322919472,38286260539,38202258441,38210463522,38210954193,38209970973
