i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,1,3143,1117,1118,1118,1048,1117,1117,1047,1117,1047,1047,978,978,978,978,977,977,1047,1047,1048,978,978,978,977,978,978,978,1048,978,977,977,978
2,4,3561,2794,2654,2654,2584,2584,2654,2654,2584,2654,2654,2584,2584,2584,2584,2724,2584,2584,2514,2584,2584,2514,2514,2584,2584,2584,2584,2515,2584,2514,2584,2584
3,9,9079,7961,7263,6984,6984,6844,6844,6844,6844,6705,6844,6844,6914,6844,6844,6844,6844,6844,6775,6775,6844,6844,6844,6774,6774,6775,6775,6845,6914,6914,6845,6844
4,16,15714,15015,14736,14596,14456,14596,14597,14596,14526,14596,14527,14596,14596,14596,14457,14666,14596,14596,14527,14457,14596,14526,14666,14527,14526,14526,14456,14526,14666,14596,14456,14456
5,25,30031,27936,27027,26888,26818,26748,58524,26678,26818,26748,26678,26678,26539,27027,27237,26818,26748,26748,26609,26748,26818,26748,26748,26678,26748,26748,26678,26748,26678,26678,26748,26678
6,36,88764,81292,80594,86809,80035,79406,79546,79197,79336,79336,79197,79197,79685,79057,79406,79266,79127,79197,79267,79616,79197,79196,79266,78917,79127,79057,79196,79406,78987,79127,79127,78987
7,49,136534,129271,130388,125150,154063,124452,125360,125151,131296,126547,124103,124033,124382,126966,132343,127943,124313,124522,130039,128153,127664,133391,132134,124661,124452,131087,126826,124313,129759,128851,124173,124103
8,64,152597,149593,178158,148476,148057,147778,148196,148336,148336,148058,148127,151829,148336,151968,153784,152806,150361,147080,146661,145054,145124,144915,145473,149663,145473,145403,149734,154273,199947,147638,144495,144845
9,81,186398,183954,181091,187376,179415,185071,187656,190239,179904,181510,187446,185141,184164,184582,182348,181580,179624,181929,214823,190240,190868,184443,187656,191217,186817,187307,183605,184164,190938,183535,189052,191008
10,100,381945,373286,372238,378174,373007,385856,381806,370912,364206,363997,376219,363997,371400,367419,369585,364905,375939,383483,364976,369374,368816,364416,370073,373146,376359,380758,372588,366022,377197,384180,374194,364416
11,121,412674,412465,426153,411976,419868,410579,411697,404084,412605,416865,415049,406389,414490,410230,406878,416237,418681,422522,411417,424547,410300,425665,409671,405132,418262,412325,407227,406808,401780,417773,410788,419798
12,144,363578,363928,351706,343046,341370,361344,355687,349610,348842,364067,359248,352265,347655,350519,350169,363298,355337,356944,345840,350030,363229,353242,350937,351216,363718,359039,353452,357363,356594,352962,357362,358271
13,169,568833,540270,573582,560662,548650,549348,562058,567715,554237,553608,557729,549348,544459,546205,566738,553398,546205,558287,569950,559824,573862,562548,540619,570160,549837,556192,570370,567087,553119,562198,570998,561640
14,196,573862,542573,554167,559266,546484,540339,563037,550326,542225,555215,548510,538942,549139,556960,550676,551443,564643,569392,560173,551723,549558,552002,548370,575119,567995,547672,550256,542644,555354,544040,563944,560453
15,225,698942,693773,681412,665560,686790,707741,672892,689305,699151,684136,669890,678618,682809,666257,680714,699081,665000,700548,694053,682600,696567,705786,681342,691609,694961,665349,684067,665838,689863,701945,681483,673940
16,256,951826,952874,945052,932830,938208,948474,939465,983742,943655,956995,965934,943236,975501,940512,954690,955668,926755,960626,971171,949661,964398,959020,990517,922634,945960,973895,968517,966423,959718,948195,962721,964956
17,289,1018591,997291,972847,1006649,1006999,1003297,1019569,1016007,1008116,1019919,998129,1008675,996733,1021944,1070272,1025017,1032070,1024947,1016776,995825,1010840,1017544,1004624,1011398,988701,978155,1016636,1022433,1033119,1026972,1005742,1004694
18,324,1171328,1217352,1169303,1167277,1181455,1211206,1166858,1206946,1203244,1173074,1186134,1188369,1198286,1203873,1209460,1197098,1216304,1224894,1169023,1179150,1153868,1154008,1165113,1200031,1187042,1220494,1163367,1159385,1173284,1170490,1177195,1180826
19,361,1386221,1411013,1386081,1372044,1373650,1386220,1405706,1406823,1362196,1358425,1395509,1404658,1396766,1369809,1381681,1370716,1370088,1367783,1352140,1375465,1359542,1372044,1435876,1428543,1420022,1410803,1379167,1354654,1365549,1360241,1414366,1365758
20,400,1633099,1635963,1598460,1609633,1613405,1627163,1626674,1629119,1657752,1617595,1587215,1623811,1637080,1639734,1626604,1609215,1627861,1606141,1592663,1615918,1596365,1574435,1590428,1600625,1592663,1627652,1602650,1613544,1619341,1601602,1571013,1617455
21,441,2656719,2536249,2565929,2609579,2548470,2539182,2536387,2549867
22,484,3133226,3120306,3107596,3117023,3135391,3118490,3162558,3182462
23,529,2695689,2723345,2688496,2670058,2685702,2689473,2657139,2686959
24,576,2993130,2950529,2919312,2906252,2927273,2925457,2903388,2932930
