i,a,tiempo1,tiempo2,tiempo3,tiempo4,tiempo5,tiempo6,tiempo7,tiempo8,tiempo9,tiempo10,tiempo11,tiempo12,tiempo13,tiempo14,tiempo15,tiempo16,tiempo17,tiempo18,tiempo19,tiempo20,tiempo21,tiempo22,tiempo23,tiempo24,tiempo25,tiempo26,tiempo27,tiempo28,tiempo29,tiempo30,tiempo31,tiempo32
1,0,6146,1397,1117,1257,1257,1257,1257,1257,1257,1257,1187,1188,1187,1257,1187,1118,1117,1187,1117,1118,1117,1188,1117,1187,1327,1188,1117,1188,1187,1118,1117,1118
2,0,3841,3143,2864,2584,2654,2654,2584,2654,2515,2584,2724,2514,2654,2584,2514,2654,2514,2653,2653,2584,2514,2654,2654,2724,2724,2654,2724,2584,2724,2584,2653,2584
3,0,7193,7053,6564,6495,6425,6425,6356,6355,6216,6425,6286,6355,6425,6355,6425,6355,6355,6355,6425,6495,6215,6215,6286,6215,6145,6215,6286,6355,6215,6216,6286,6285
4,0,13339,12990,12780,12640,12571,12641,12571,12571,12571,12641,12432,12501,12431,12711,12431,12570,12362,12641,12501,12362,12571,12431,12571,12501,12431,12571,12501,12571,12571,12780,12711,12780
5,0,24443,22209,21859,21719,21649,21650,21720,21510,21650,21580,21580,21719,21511,21580,21580,21720,21650,21650,21720,21929,21789,21790,21580,21441,21720,21999,21859,21789,21580,21859,21790,21929
6,0,36036,34779,34989,34919,34431,34710,34779,34361,34430,34430,34500,34081,34011,34081,33941,34081,34081,34151,34081,34360,34430,34221,34220,34221,34012,34151,34500,34500,34500,34709,34569,34500
7,0,51401,50842,50843,50912,50772,50773,50912,51261,51261,51331,51262,51331,51052,51471,50912,50773,50633,50563,50423,50563,58315,34570,34500,34500,34640,34780,34360,34430,34779,34640,34710,34710
8,0,49585,48956,48816,48817,48887,49027,48887,49026,49375,49166,48887,49446,49166,49445,49166,49027,49306,49097,48957,48957,49027,48887,48817,49166,49027,49027,49236,49027,48887,49166,49236,48677
9,0,66695,66696,66905,66276,66346,66417,66277,66626,66765,66556,66346,65997,66067,66206,66346,65858,65858,65648,65509,65927,65997,66695,66486,66416,66836,66067,65648,65578,65439,92326,63064,54474
10,0,72562,71794,71934,72143,72073,72353,71794,72004,72283,71794,71026,71026,71724,72352,72283,72003,71794,72632,72143,71654,71794,71654,72003,72074,72003,71724,72003,72213,71934,71724,71794,71654
11,0,93443,92675,92466,92047,91838,92466,92327,92675,92675,92466,92466,92396,92186,92326,92257,91698,141702,92116,92047,91977,91977,91837,91907,92116,92047,92606,91907,92466,92256,91698,92047,92257
12,0,116840,115931,116630,115932,116421,116560,116210,116351,115862,116281,116072,115862,116700,116490,116281,115931,116211,116071,115582,116560,116071,149943,115792,116141,116141,115792,116211,115792,115582,115583,116840,117189
13,0,145124,144704,144426,142540,142400,142331,142330,143867,143728,143657,143587,143797,142470,142609,142959,143308,143727,143378,190449,143517,144006,144007,143936,144146,144426,143866,143797,142889,142819,142679,143028,143587
14,0,176412,175224,175084,175364,175783,175014,175084,175922,175364,175224,175084,200855,175504,175155,175154,174177,174107,175364,174246,174246,175643,175085,175573,175085,175922,175433,175084,176132,175643,175225,176202,175922
15,0,211749,235425,211121,210632,211190,210842,211261,210702,211051,210981,210352,209724,209375,209166,209445,209166,210702,210981,210911,210981,234866,210842,211121,211051,210213,210633,210912,210842,210842,211190,210702,211260
16,0,251208,251208,250998,251208,250300,250929,260287,253304,249392,249602,251417,251138,249811,250649,250929,250440,251418,251487,251138,251278,251418,251348,256865,251278,251837,251627,251348,251488,250929,250929,250719,250998
17,0,299816,296603,296603,296603,297651,300234,296114,295905,296254,295975,293740,295695,295835,295415,296603,297441,296534,296394,302121,297162,296185,296533,296114,295696,297511,297790,297231,296673,297022,297441,296812,300095
18,0,346258,345629,346258,345770,345350,345909,345281,345420,345769,345909,346118,349819,345141,346398,346607,346677,346537,347096,345979,345769,345909,344233,348004,346956,346887,343255,345350,346048,345839,347585,347585,347166
19,0,402548,402198,404712,400941,398846,397449,397869,397449,397170,397520,395913,397589,401081,397449,397589,397450,398776,400593,400313,401360,400452,402827,402688,397310,396752,397589,396611,397310,397170,397100,396960,396961
20,0,463516,462259,461910,462888,461980,462539,462748,462330,466590,463167,462120,462609,463517,462679,462330,461282,462748,467846,462399,463238,463028,461422,463587,462539,463307,462818,466799,462818,463586,463377,461840,463866
21,0,527907,527628,533565,528815,529723,530072,531888,531539
22,0,605009,607383,602983,604101,604171,604659,603752,603542
23,0,679526,681901,682878,683018,682459,679526,683996,679526
24,0,765078,765777,765428,769548,764869,765986,765008,765078
